market,metric,latest,zscore,date
ADJUSTED INT RATE S&P 500 TOTL - CHICAGO,lev_net,16395,-1.54,2026-06-02
ADJUSTED INT RATE S&P 500 TOTL - CHICAGO,am_net,-189355,-3.42,2026-06-02
E-MINI S&P 500 - CHICAGO MERCANTILE EXCH,lev_net,-500732,-1.83,2026-06-02
E-MINI S&P 500 - CHICAGO MERCANTILE EXCH,am_net,981859,1.22,2026-06-02
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO ,lev_net,-211883,-2.13,2026-06-02
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO ,am_net,11885,1.72,2026-06-02
MICRO E-MINI S&P 500 INDEX - CHICAGO MER,lev_net,-27764,-0.68,2026-06-02
MICRO E-MINI S&P 500 INDEX - CHICAGO MER,am_net,30620,1.16,2026-06-02
NASDAQ-100 Consolidated - CHICAGO MERCAN,lev_net,-74838,-2.03,2026-06-02
NASDAQ-100 Consolidated - CHICAGO MERCAN,am_net,80280,0.82,2026-06-02
S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO ,lev_net,152978,1.6,2026-06-02
S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO ,am_net,90887,0.84,2026-06-02
S&P 500 Consolidated - CHICAGO MERCANTIL,lev_net,-503509,-1.85,2026-06-02
S&P 500 Consolidated - CHICAGO MERCANTIL,am_net,984921,1.23,2026-06-02
S&P 500 QUARTERLY DIVIDEND IND - CHICAGO,lev_net,4869,-0.74,2026-06-02
S&P 500 QUARTERLY DIVIDEND IND - CHICAGO,am_net,1408,-0.56,2026-06-02
