date,equity,cash,invested,n_pos,exposure
2018-10-11,100000.0,100000.0,0.0,0,0.0
2018-10-12,100000.0,100000.0,0.0,0,0.0
2018-10-15,100000.0,100000.0,0.0,0,0.0
2018-10-16,100000.0,100000.0,0.0,0,0.0
2018-10-17,100000.0,100000.0,0.0,0,0.0
2018-10-18,100000.0,100000.0,0.0,0,0.0
2018-10-19,100000.0,100000.0,0.0,0,0.0
2018-10-22,100000.0,100000.0,0.0,0,0.0
2018-10-23,100000.0,100000.0,0.0,0,0.0
2018-10-24,100000.0,100000.0,0.0,0,0.0
2018-10-25,100000.0,100000.0,0.0,0,0.0
2018-10-26,100000.0,100000.0,0.0,0,0.0
2018-10-29,100000.0,100000.0,0.0,0,0.0
2018-10-30,100000.0,100000.0,0.0,0,0.0
2018-10-31,100000.0,100000.0,0.0,0,0.0
2018-11-01,100000.0,100000.0,0.0,0,0.0
2018-11-02,100000.0,100000.0,0.0,0,0.0
2018-11-05,100000.0,100000.0,0.0,0,0.0
2018-11-06,100000.0,100000.0,0.0,0,0.0
2018-11-07,100000.0,100000.0,0.0,0,0.0
2018-11-08,100000.0,100000.0,0.0,0,0.0
2018-11-09,100000.0,100000.0,0.0,0,0.0
2018-11-12,100000.0,100000.0,0.0,0,0.0
2018-11-13,100000.0,100000.0,0.0,0,0.0
2018-11-14,100000.0,100000.0,0.0,0,0.0
2018-11-15,100000.0,100000.0,0.0,0,0.0
2018-11-16,100000.0,100000.0,0.0,0,0.0
2018-11-19,100000.0,100000.0,0.0,0,0.0
2018-11-20,100000.0,100000.0,0.0,0,0.0
2018-11-21,100000.0,100000.0,0.0,0,0.0
2018-11-22,100000.0,100000.0,0.0,0,0.0
2018-11-23,100000.0,100000.0,0.0,0,0.0
2018-11-26,100000.0,100000.0,0.0,0,0.0
2018-11-27,100000.0,100000.0,0.0,0,0.0
2018-11-28,100000.0,100000.0,0.0,0,0.0
2018-11-29,100000.0,100000.0,0.0,0,0.0
2018-11-30,100000.0,100000.0,0.0,0,0.0
2018-12-03,100000.0,100000.0,0.0,0,0.0
2018-12-04,100000.0,100000.0,0.0,0,0.0
2018-12-05,100000.0,100000.0,0.0,0,0.0
2018-12-06,100000.0,100000.0,0.0,0,0.0
2018-12-07,100000.0,100000.0,0.0,0,0.0
2018-12-10,100000.0,100000.0,0.0,0,0.0
2018-12-11,100000.0,100000.0,0.0,0,0.0
2018-12-12,100000.0,100000.0,0.0,0,0.0
2018-12-13,100000.0,100000.0,0.0,0,0.0
2018-12-14,100000.0,100000.0,0.0,0,0.0
2018-12-17,100000.0,100000.0,0.0,0,0.0
2018-12-18,100000.0,100000.0,0.0,0,0.0
2018-12-19,100000.0,100000.0,0.0,0,0.0
2018-12-20,100000.0,100000.0,0.0,0,0.0
2018-12-21,100000.0,100000.0,0.0,0,0.0
2018-12-24,100000.0,100000.0,0.0,0,0.0
2018-12-26,100000.0,100000.0,0.0,0,0.0
2018-12-27,100000.0,100000.0,0.0,0,0.0
2018-12-28,100000.0,100000.0,0.0,0,0.0
2018-12-31,100000.0,100000.0,0.0,0,0.0
2019-01-02,100000.0,100000.0,0.0,0,0.0
2019-01-03,100000.0,100000.0,0.0,0,0.0
2019-01-04,100000.0,100000.0,0.0,0,0.0
2019-01-07,100000.0,100000.0,0.0,0,0.0
2019-01-08,100000.0,100000.0,0.0,0,0.0
2019-01-09,100000.0,100000.0,0.0,0,0.0
2019-01-10,100000.0,100000.0,0.0,0,0.0
2019-01-11,100000.0,100000.0,0.0,0,0.0
2019-01-14,100000.0,100000.0,0.0,0,0.0
2019-01-15,100000.0,100000.0,0.0,0,0.0
2019-01-16,100000.0,100000.0,0.0,0,0.0
2019-01-17,100000.0,100000.0,0.0,0,0.0
2019-01-18,100000.0,100000.0,0.0,0,0.0
2019-01-21,100000.0,100000.0,0.0,0,0.0
2019-01-22,100000.0,100000.0,0.0,0,0.0
2019-01-23,100000.0,100000.0,0.0,0,0.0
2019-01-24,100000.0,100000.0,0.0,0,0.0
2019-01-25,100000.0,100000.0,0.0,0,0.0
2019-01-28,100000.0,100000.0,0.0,0,0.0
2019-01-29,100000.0,100000.0,0.0,0,0.0
2019-01-30,100000.0,100000.0,0.0,0,0.0
2019-01-31,100000.0,100000.0,0.0,0,0.0
2019-02-01,100000.0,100000.0,0.0,0,0.0
2019-02-04,100000.0,100000.0,0.0,0,0.0
2019-02-05,100000.0,100000.0,0.0,0,0.0
2019-02-06,100000.0,100000.0,0.0,0,0.0
2019-02-07,100000.0,100000.0,0.0,0,0.0
2019-02-08,100000.0,100000.0,0.0,0,0.0
2019-02-11,100000.0,100000.0,0.0,0,0.0
2019-02-12,100000.0,100000.0,0.0,0,0.0
2019-02-13,100000.0,100000.0,0.0,0,0.0
2019-02-14,100000.0,100000.0,0.0,0,0.0
2019-02-15,100000.0,100000.0,0.0,0,0.0
2019-02-18,100000.0,100000.0,0.0,0,0.0
2019-02-19,100000.0,100000.0,0.0,0,0.0
2019-02-20,100000.0,100000.0,0.0,0,0.0
2019-02-21,100000.0,100000.0,0.0,0,0.0
2019-02-22,100000.0,100000.0,0.0,0,0.0
2019-02-25,100000.0,100000.0,0.0,0,0.0
2019-02-26,99958.35472074998,80130.8571964885,19827.497524261475,2,0.19835758181147373
2019-02-27,99395.49754498285,23406.937083700115,75988.56046128273,8,0.7645070686113626
2019-02-28,99858.21296822777,13403.712484714903,86454.50048351288,9,0.8657725580470822
2019-03-01,99654.09953882973,3422.9700014857463,96231.12953734398,10,0.965651488324853
2019-03-04,99709.43398812096,3422.9700014857463,96286.46398663521,10,0.9656705502721683
2019-03-05,100035.07741215508,3422.9700014857463,96612.10741066933,10,0.9657823026678657
2019-03-06,100296.72226383965,3422.9700014857463,96873.7522623539,10,0.9658715666452058
2019-03-07,100603.89537837784,3422.9700014857463,97180.92537689209,10,0.9659757707332133
2019-03-08,100431.5710191993,3422.9700014857463,97008.60101771355,10,0.9659173906496854
2019-03-11,100544.26845529358,3422.9700014857463,97121.29845380783,10,0.9659555929534884
2019-03-12,100826.6869221,3422.9700014857463,97403.71692061424,10,0.9660509523224701
2019-03-13,101237.01341178696,3422.9700014857463,97814.04341030121,10,0.9661885521300135
2019-03-14,101787.9258938102,3422.9700014857463,98364.95589232445,10,0.9663715517196337
2019-03-15,102327.86647680085,3422.9700014857463,98904.8964753151,10,0.9665489947231355
2019-03-18,102938.2585077552,3422.9700014857463,99515.28850626945,10,0.9667473488369936
2019-03-19,103673.27404477875,3422.9700014857463,100250.304043293,10,0.9669831011606009
2019-03-20,103250.42996933739,3422.9700014857463,99827.45996785164,10,0.9668478862266987
2019-03-21,104093.87016465943,3422.9700014857463,100670.90016317368,10,0.9671165074747324
2019-03-22,103162.33498790543,3422.9700014857463,99739.36498641968,10,0.9668195761380638
2019-03-25,102901.17071106713,3422.9700014857463,99478.20070958138,10,0.9667353638658106
2019-03-26,103800.0487695505,4369.261968212304,99430.7868013382,10,0.957906937231671
2019-03-27,103431.05035763403,1336.8849032463695,102094.16545438766,10,0.9870746270232796
2019-03-28,103348.16818191492,1389.466899175277,101958.70128273964,10,0.9865554762738559
2019-03-29,103753.02749108765,1130.4960117289684,102622.53147935867,10,0.989103970852069
2019-04-01,103671.42991947624,1130.4960117289684,102540.93390774727,10,0.9890953948198935
2019-04-02,103692.27759623024,1130.4960117289684,102561.78158450127,10,0.9890975872269772
2019-04-03,103919.57703661415,1130.4960117289684,102789.08102488518,10,0.9891214336704751
2019-04-04,103717.05872797463,1130.4960117289684,102586.56271624565,10,0.9891001921420275
2019-04-05,103957.1234810302,1130.4960117289684,102826.62746930122,10,0.989125362708451
2019-04-08,103930.57073831055,1130.4960117289684,102800.07472658157,10,0.9891225843974678
2019-04-09,103683.44337152931,1130.4960117289684,102552.94735980034,10,0.98909665829984
2019-04-10,104020.22880362961,1130.4960117289684,102889.73279190063,10,0.9891319599588352
2019-04-11,103800.86226486656,1130.4960117289684,102670.36625313759,10,0.989108992092529
2019-04-12,103874.09891747925,1130.4960117289684,102743.60290575027,10,0.9891166708206338
2019-04-15,104022.02574443314,1130.4960117289684,102891.52973270416,10,0.9891321477000801
2019-04-16,103230.02781247589,1130.4960117289684,102099.53180074692,10,0.9890487677308138
2019-04-17,102606.40478848908,1130.4960117289684,101475.9087767601,10,0.9889822081374028
2019-04-18,102810.55534314606,1130.4960117289684,101680.05933141708,10,0.9890040861275793
2019-04-22,102769.86087750885,1130.4960117289684,101639.36486577988,10,0.988999732002397
2019-04-23,103396.86899375412,1130.4960117289684,102266.37298202515,10,0.9890664386385117
2019-04-24,103245.6457446376,160.27419598495362,103085.37154865265,10,0.9984476420789564
2019-04-25,103326.26980057672,4140.8515075774485,99185.41829299927,10,0.9599245040436528
2019-04-26,103362.61385325597,4733.044411460622,98629.56944179535,10,0.954209319646462
2019-04-29,103549.6798215421,5073.384908250171,98476.29491329193,10,0.9510053056948736
2019-04-30,103894.42914824803,5073.384908250171,98821.04423999786,10,0.9511678831113177
2019-05-01,103453.39354949315,5073.384908250171,98380.00864124298,10,0.9509597052916102
2019-05-02,101907.457651666,5073.384908250171,96834.07274341583,10,0.9502157641338507
2019-05-03,101611.5262227567,5073.384908250171,96538.14131450653,10,0.9500707734954389
2019-05-06,100971.7737050565,5073.384908250171,95898.38879680634,10,0.9497544242109703
2019-05-07,99667.10345225652,5073.384908250171,94593.71854400635,10,0.949096695574378
2019-05-08,100145.91113429387,5073.384908250171,95072.5262260437,10,0.9493400693968738
2019-05-09,98449.32205539067,5073.384908250171,93375.9371471405,10,0.9484670406831677
2019-05-10,99153.30916457494,5073.384908250171,94079.92425632477,10,0.9488329239740314
2019-05-13,96981.07095103581,5073.384908250171,91907.68604278564,10,0.9476868541613482
2019-05-14,99028.69395594914,5073.384908250171,93955.30904769897,10,0.9487685366172055
2019-05-15,99985.00104098638,5073.384908250171,94911.6161327362,10,0.949258540226744
2019-05-16,101432.00956778844,5073.384908250171,96358.62465953827,10,0.9499824076258733
2019-05-17,101159.11560874303,5073.384908250171,96085.73070049286,10,0.9498474766438973
2019-05-20,99809.69525580724,5073.384908250171,94736.31034755707,10,0.9491694179082769
2019-05-21,100258.71040587743,5073.384908250171,95185.32549762726,10,0.9493970659735042
2019-05-22,100559.09380669422,25045.87860531635,75513.21520137787,8,0.7509337280478849
2019-05-23,98937.37693823886,78723.58291663241,20213.794021606445,2,0.20430897449630994
2019-05-24,99001.17265613437,88786.81563098788,10214.357025146484,1,0.103174101387915
2019-05-27,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-05-28,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-05-29,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-05-30,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-05-31,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-03,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-04,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-05,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-06,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-07,98989.17978472933,98989.17978472933,0.0,0,0.0
2019-06-10,98989.17978472933,98989.17978472933,0.0,0,0.0
