ticker,entity,source,filed_date,period_end,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
A2A.MI,A2A.MI,yahoo_ts,2026-04-30,2025-12-31,13739000000.0,750000000.0,0.2395,1776000000.0,0.0546,0.1293,1.05,0.31,0.1268
AMP.MI,AMP.MI,yahoo_ts,2026-04-30,2025-12-31,2395705000.0,91334000.0,0.415273,414767000.0,0.0381,0.1731,0.61,0.31,0.0915
AZM.MI,AZM.MI,yahoo_ts,2026-04-30,2025-12-31,1407370000.0,525666000.0,3.71,614195000.0,0.3735,0.4364,0.53,,0.2573
BMED.MI,BMED.MI,yahoo_ts,2026-04-30,2025-12-31,2440482000.0,1237908000.0,1.674604,389843000.0,0.5072,0.1597,,,0.2754
BMPS.MI,BMPS.MI,yahoo_ts,2026-04-30,2025-12-31,5001743000.0,2715707000.0,1.537,1737833000.0,0.543,0.3474,,,0.0971
BAMI.MI,BAMI.MI,yahoo_ts,2026-04-30,2025-12-31,6639492000.0,2081987000.0,1.38,-3542412000.0,0.3136,-0.5335,,,0.1343
BPE.MI,BPE.MI,yahoo_ts,2026-04-30,2025-12-31,6973747000.0,1818447000.0,1.089,3121933000.0,0.2608,0.4477,,,0.1098
BC.MI,BC.MI,yahoo_ts,2026-04-30,2025-12-31,1407951000.0,135034000.0,1.9865,242607000.0,0.0959,0.1723,1.42,0.9,0.2473
BZU.MI,BZU.MI,yahoo_ts,2026-04-30,2025-12-31,4518779000.0,921313000.0,5.089,914060000.0,0.2039,0.2023,4.58,4.59,0.13
CPR.MI,CPR.MI,yahoo_ts,2026-04-30,2025-12-31,3051100000.0,346300000.0,0.29,687600000.0,0.1135,0.2254,2.22,0.32,0.0896
DIA.MI,DIA.MI,yahoo_ts,2026-04-30,2025-12-31,1195055000.0,155624000.0,2.830153,342760000.0,0.1302,0.2868,1.55,0.35,0.0982
ENEL.MI,ENEL.MI,yahoo_ts,2026-04-30,2025-12-31,67452000000.0,4225000000.0,0.39,13926000000.0,0.0626,0.2065,0.73,0.09,0.1318
ENI.MI,ENI.MI,yahoo_ts,2026-04-30,2025-12-31,82151000000.0,2608000000.0,0.78,13330000000.0,0.0317,0.1623,1.33,0.4,0.0544
RACE.MI,RACE.MI,yahoo_ts,2026-04-30,2025-12-31,7145768000.0,1596919000.0,8.96,2349306000.0,0.2235,0.3288,3.38,0.54,0.4087
FBK.MI,FBK.MI,yahoo_ts,2026-04-30,2025-12-31,1552845000.0,647041000.0,1.058132,436398000.0,0.4167,0.281,,,0.2534
G.MI,G.MI,yahoo_ts,2026-04-30,2025-12-31,74133000000.0,4172000000.0,2.699312,19669000000.0,0.0563,0.2653,,0.18,0.1301
HER.MI,HER.MI,yahoo_ts,2026-04-30,2025-12-31,12963700000.0,464300000.0,0.317,1224800000.0,0.0358,0.0945,1.1,0.2,0.1138
IP.MI,IP.MI,yahoo_ts,2026-04-30,2025-12-31,2070684000.0,208122000.0,1.955,333953000.0,0.1005,0.1613,2.22,1.08,0.0992
ISP.MI,ISP.MI,yahoo_ts,2026-04-30,2025-12-31,28529000000.0,9321000000.0,0.536068,8235000000.0,0.3267,0.2887,,,0.1429
INW.MI,INW.MI,yahoo_ts,2026-04-30,2025-12-31,1077163000.0,361525000.0,0.393,799575000.0,0.3356,0.7423,0.59,0.05,0.1042
IVG.MI,IVG.MI,yahoo_ts,2026-04-30,2025-12-31,13428000000.0,289000000.0,1.07,1110000000.0,0.0215,0.0827,1.81,0.53,0.1047
LDO.MI,LDO.MI,yahoo_ts,2026-04-30,2025-12-31,19503000000.0,1224000000.0,2.122,1750000000.0,0.0628,0.0897,0.98,2.34,0.128
MB.MI,MB.MI,yahoo_ts,2025-10-28,2025-06-30,,1331501000.0,1.64,,,,,,0.1172
MONC.MI,MONC.MI,yahoo_ts,2026-04-30,2025-12-31,3132128000.0,626670000.0,2.307341,960515000.0,0.2001,0.3067,2.42,203.23,0.1628
NEXI.MI,NEXI.MI,yahoo_ts,2026-04-30,2025-12-31,6274000000.0,-3377000000.0,-2.81,1226000000.0,-0.5383,0.1954,1.08,0.53,-0.4785
PIRC.MI,PIRC.MI,yahoo_ts,2026-04-30,2025-12-31,6863760000.0,497527000.0,0.5,1305805000.0,0.0725,0.1902,1.45,0.64,0.0793
PST.MI,PST.MI,yahoo_ts,2026-04-30,2025-12-31,23257000000.0,2214000000.0,1.71,2703000000.0,0.0952,0.1162,0.5,1.21,0.16
PRY.MI,PRY.MI,yahoo_ts,2026-04-30,2025-12-31,19650000000.0,1270000000.0,4.3,2162000000.0,0.0646,0.11,1.23,0.43,0.1962
REC.MI,REC.MI,yahoo_ts,2026-04-30,2025-12-31,2618383000.0,443624000.0,2.121,596897000.0,0.1694,0.228,1.59,,0.2311
SPM.MI,SPM.MI,yahoo_ts,2026-04-30,2025-12-31,15504000000.0,310000000.0,0.15,1504000000.0,0.02,0.097,1.1,0.62,0.1176
SRG.MI,SRG.MI,yahoo_ts,2026-04-30,2025-12-31,3852000000.0,1270000000.0,0.37845,2688000000.0,0.3297,0.6978,0.72,0.11,0.1375
STLAM.MI,STLAM.MI,yahoo_ts,2026-04-30,2025-12-31,153508000000.0,-22368000000.0,-7.75,-4650000000.0,-0.1457,-0.0303,1.02,1.0,-0.4177
