ticker,filed,form,fp,fy,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
A2A.MI,2023-04-30,AR,FY,2022,22938000000.0,401000000.0,0.1281,1260000000.0,0.0175,0.0549,1.15,0.42,0.1028
A2A.MI,2024-04-29,AR,FY,2023,14492000000.0,659000000.0,0.2101,1040000000.0,0.0455,0.0718,1.11,0.3,0.1554
A2A.MI,2025-04-30,AR,FY,2024,12570000000.0,864000000.0,0.275782,1139000000.0,0.0687,0.0906,1.11,0.25,0.1561
A2A.MI,2026-04-30,AR,FY,2025,13739000000.0,750000000.0,0.2395,1776000000.0,0.0546,0.1293,1.05,0.31,0.1268
AMP.MI,2023-04-30,AR,FY,2022,2119126000.0,178525000.0,0.78699,458622000.0,0.0842,0.2164,0.56,0.22,0.1719
AMP.MI,2024-04-29,AR,FY,2023,2260084000.0,155139000.0,0.687227,413543000.0,0.0686,0.183,0.53,0.27,0.1409
AMP.MI,2025-04-30,AR,FY,2024,2409241000.0,145374000.0,0.645188,451158000.0,0.0603,0.1873,0.62,0.3,0.1264
AMP.MI,2026-04-30,AR,FY,2025,2395705000.0,91334000.0,0.415273,414767000.0,0.0381,0.1731,0.61,0.31,0.0915
AZM.MI,2023-04-30,AR,FY,2022,1285718000.0,406461000.0,2.919,-101329000.0,0.3161,-0.0788,0.55,0.6,0.2868
AZM.MI,2024-04-29,AR,FY,2023,1206905000.0,434567000.0,3.14,468846000.0,0.3601,0.3885,0.58,0.93,0.2803
AZM.MI,2025-04-30,AR,FY,2024,1332650000.0,576165000.0,4.1,-197479000.0,0.4323,-0.1482,0.56,,0.2996
AZM.MI,2026-04-30,AR,FY,2025,1407370000.0,525666000.0,3.71,614195000.0,0.3735,0.4364,0.53,,0.2573
BMED.MI,2023-04-30,AR,FY,2022,1410849000.0,506829000.0,0.681,2298284000.0,0.3592,1.629,,,0.1719
BMED.MI,2024-04-29,AR,FY,2023,1918460000.0,821870000.0,1.108926,-1754032000.0,0.4284,-0.9143,,,0.2379
BMED.MI,2025-04-30,AR,FY,2024,2419351000.0,1119629000.0,1.518378,1152186000.0,0.4628,0.4762,,,0.2781
BMED.MI,2026-04-30,AR,FY,2025,2440482000.0,1237908000.0,1.674604,389843000.0,0.5072,0.1597,,,0.2754
BMPS.MI,2023-04-30,AR,FY,2022,3291836000.0,-178361000.0,-0.85,8381462000.0,-0.0542,2.5461,,,-0.0227
BMPS.MI,2024-04-29,AR,FY,2023,3937559000.0,2051781000.0,1.629,1774345000.0,0.5211,0.4506,,,0.2056
BMPS.MI,2025-04-30,AR,FY,2024,4200436000.0,1950783000.0,1.549,-791999000.0,0.4644,-0.1886,,,0.1675
BMPS.MI,2026-04-30,AR,FY,2025,5001743000.0,2715707000.0,1.537,1737833000.0,0.543,0.3474,,,0.0971
BAMI.MI,2023-04-30,AR,FY,2022,4695281000.0,685047000.0,0.45,-15675728000.0,0.1459,-3.3386,,,0.0526
BAMI.MI,2024-04-29,AR,FY,2023,5653094000.0,1264453000.0,0.84,5893440000.0,0.2237,1.0425,,,0.0901
BAMI.MI,2025-04-30,AR,FY,2024,6826522000.0,1920393000.0,1.279083,-4970803000.0,0.2813,-0.7282,,,0.1315
BAMI.MI,2026-04-30,AR,FY,2025,6639492000.0,2081987000.0,1.38,-3542412000.0,0.3136,-0.5335,,,0.1343
BPE.MI,2023-04-30,AR,FY,2022,4314167000.0,1448975000.0,0.998,12793995000.0,0.3359,2.9656,,,0.1825
BPE.MI,2024-04-29,AR,FY,2023,5875090000.0,1519496000.0,1.048,-3419544000.0,0.2586,-0.582,,,0.1622
BPE.MI,2025-04-30,AR,FY,2024,5988370000.0,1402649000.0,0.990913,-2495397000.0,0.2342,-0.4167,,,0.1235
BPE.MI,2026-04-30,AR,FY,2025,6973747000.0,1818447000.0,1.089,3121933000.0,0.2608,0.4477,,,0.1098
BC.MI,2023-04-30,AR,FY,2022,919708000.0,80599000.0,1.18528,215937000.0,0.0876,0.2348,1.24,2.46,0.2107
BC.MI,2024-04-29,AR,FY,2023,1139420000.0,114617000.0,1.68576,209048000.0,0.1006,0.1835,1.24,4.83,0.2594
BC.MI,2025-04-30,AR,FY,2024,1278540000.0,119478000.0,1.75713,188930000.0,0.0934,0.1478,1.4,1.15,0.2439
BC.MI,2026-04-30,AR,FY,2025,1407951000.0,135034000.0,1.9865,242607000.0,0.0959,0.1723,1.42,0.9,0.2473
BZU.MI,2023-04-30,AR,FY,2022,3995519000.0,458786000.0,2.462,394715000.0,0.1148,0.0988,2.32,2.21,0.0935
BZU.MI,2024-04-29,AR,FY,2023,4317489000.0,966545000.0,5.221,818804000.0,0.2239,0.1896,3.33,3.31,0.1718
BZU.MI,2025-04-30,AR,FY,2024,4313037000.0,942316000.0,5.14,932616000.0,0.2185,0.2162,3.49,4.3,0.1427
BZU.MI,2026-04-30,AR,FY,2025,4518779000.0,921313000.0,5.089,914060000.0,0.2039,0.2023,4.58,4.59,0.13
CPR.MI,2023-04-30,AR,FY,2022,2697600000.0,333000000.0,0.29,380400000.0,0.1234,0.141,2.0,0.27,0.1244
CPR.MI,2024-04-29,AR,FY,2023,2918600000.0,330500000.0,0.291966,156500000.0,0.1132,0.0536,1.98,0.36,0.113
CPR.MI,2025-04-30,AR,FY,2024,3069800000.0,201600000.0,0.16765,670500000.0,0.0657,0.2184,2.37,0.27,0.0523
CPR.MI,2026-04-30,AR,FY,2025,3051100000.0,346300000.0,0.29,687600000.0,0.1135,0.2254,2.22,0.32,0.0896
DIA.MI,2023-04-30,AR,FY,2022,1361138000.0,240907000.0,4.15,389341000.0,0.177,0.286,3.1,0.21,0.1586
DIA.MI,2024-04-29,AR,FY,2023,1148210000.0,159849000.0,2.87,311663000.0,0.1392,0.2714,3.07,0.27,0.1039
DIA.MI,2025-04-30,AR,FY,2024,1185427000.0,188105000.0,3.469905,358782000.0,0.1587,0.3027,3.51,0.38,0.1044
DIA.MI,2026-04-30,AR,FY,2025,1195055000.0,155624000.0,2.830153,342760000.0,0.1302,0.2868,1.55,0.35,0.0982
ENEL.MI,2023-04-30,AR,FY,2022,102666000000.0,1682000000.0,0.15,8649000000.0,0.0164,0.0842,0.95,0.17,0.0587
ENEL.MI,2024-04-29,AR,FY,2023,82499000000.0,3438000000.0,0.32,14620000000.0,0.0417,0.1772,0.85,0.12,0.1083
ENEL.MI,2025-04-30,AR,FY,2024,70649000000.0,7016000000.0,0.67,13223000000.0,0.0993,0.1872,0.83,0.14,0.208
ENEL.MI,2026-04-30,AR,FY,2025,67452000000.0,4225000000.0,0.39,13926000000.0,0.0626,0.2065,0.73,0.09,0.1318
ENI.MI,2023-04-30,AR,FY,2022,132512000000.0,13887000000.0,3.95,17460000000.0,0.1048,0.1318,1.25,0.52,0.2536
ENI.MI,2024-04-29,AR,FY,2023,93717000000.0,4771000000.0,1.4,15119000000.0,0.0509,0.1613,1.28,0.46,0.0897
ENI.MI,2025-04-30,AR,FY,2024,88797000000.0,2624000000.0,0.78,13092000000.0,0.0296,0.1474,1.14,0.38,0.0497
ENI.MI,2026-04-30,AR,FY,2025,82151000000.0,2608000000.0,0.78,13330000000.0,0.0317,0.1623,1.33,0.4,0.0544
RACE.MI,2023-04-30,AR,FY,2022,5095254000.0,932614000.0,5.09,1403340000.0,0.183,0.2754,2.8,0.5,0.3597
RACE.MI,2024-04-29,AR,FY,2023,5970146000.0,1252048000.0,6.9,1716637000.0,0.2097,0.2875,2.68,0.47,0.409
RACE.MI,2025-04-30,AR,FY,2024,6676668000.0,1521877000.0,8.46,1926656000.0,0.2279,0.2886,3.37,0.54,0.4306
RACE.MI,2026-04-30,AR,FY,2025,7145768000.0,1596919000.0,8.96,2349306000.0,0.2235,0.3288,3.38,0.54,0.4087
FBK.MI,2023-04-30,AR,FY,2022,1085736000.0,428505000.0,0.701,269097000.0,0.3947,0.2478,,,0.2243
FBK.MI,2024-04-29,AR,FY,2023,1404472000.0,609101000.0,1.0,1137646000.0,0.4337,0.81,,,0.2775
FBK.MI,2025-04-30,AR,FY,2024,1523567000.0,652285000.0,1.067712,154926000.0,0.4281,0.1017,,,0.273
FBK.MI,2026-04-30,AR,FY,2025,1552845000.0,647041000.0,1.058132,436398000.0,0.4167,0.281,,,0.2534
G.MI,2023-04-30,AR,FY,2022,33057000000.0,2235000000.0,1.41,10341000000.0,0.0676,0.3128,,0.19,0.0839
G.MI,2024-04-29,AR,FY,2023,66939000000.0,3747000000.0,2.429417,1732000000.0,0.056,0.0259,,0.2,0.1293
G.MI,2025-04-30,AR,FY,2024,58527000000.0,3724000000.0,2.447507,15383000000.0,0.0636,0.2628,,0.22,0.1225
G.MI,2026-04-30,AR,FY,2025,74133000000.0,4172000000.0,2.699312,19669000000.0,0.0563,0.2653,,0.18,0.1301
HER.MI,2023-04-30,AR,FY,2022,19871300000.0,255200000.0,0.175,35700000.0,0.0128,0.0018,1.34,0.38,0.0751
HER.MI,2024-04-29,AR,FY,2023,15410600000.0,441400000.0,0.305,1572700000.0,0.0286,0.1021,1.11,0.33,0.1284
HER.MI,2025-04-30,AR,FY,2024,13058400000.0,494500000.0,0.343,853000000.0,0.0379,0.0653,1.05,0.32,0.1344
HER.MI,2026-04-30,AR,FY,2025,12963700000.0,464300000.0,0.317,1224800000.0,0.0358,0.0945,1.1,0.2,0.1138
