ticker,entity,source,filed_date,revenue,net_income,eps_diluted,eps_basic,gross_profit,operating_income,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash,long_term_debt,shares_outstanding,ocf,net_margin,gross_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe,debt_to_equity,eps_growth_yoy,eps_cagr_5y
AAPL,Apple Inc.,sec_edgar,2026-05-01,451442000000.0,122575000000.0,8.26,8.3,216071000000.0,147366000000.0,371082000000.0,264591000000.0,106491000000.0,144114000000.0,134641000000.0,45572000000.0,74404000000.0,14667688000.0,140222000000.0,0.2715,0.4786,0.3106,1.07,0.61,1.151,2.48,0.227,0.0407
MSFT,MICROSOFT CORPORATION,sec_edgar,2026-04-29,318273000000.0,125216000000.0,16.79,16.86,217410000000.0,148957000000.0,694228000000.0,279861000000.0,414367000000.0,175329000000.0,136661000000.0,32105000000.0,31423000000.0,7429000000.0,170141000000.0,0.3934,0.6831,0.5346,1.28,1.02,0.3022,0.68,0.1559,0.0717
NVDA,NVIDIA CORP,sec_edgar,2026-05-20,26914000000.0,159613000000.0,6.530000000000001,6.5600000000000005,187952000000.0,162285000000.0,259474000000.0,64000000000.0,195474000000.0,150995000000.0,43884000000.0,13237000000.0,7470000000.0,24304000000.0,125648000000.0,5.9305,6.9834,4.6685,3.44,1.77,0.8165,0.33,0.6667,0.9586
GOOGL,ALPHABET INC.,sec_edgar,2026-04-30,359713000000.0,160208000000.0,13.11,13.24,,138129000000.0,703919000000.0,225173000000.0,478746000000.0,213753000000.0,111188000000.0,38063000000.0,77501000000.0,12116000000.0,174353000000.0,0.4454,,0.4847,1.92,0.49,0.3346,0.47,0.3445,0.1884
AMZN,AMAZON COM INC,sec_edgar,2026-04-30,742776000000.0,102524000000.0,8.36,8.49,3554000000.0,85422000000.0,916630000000.0,,441914000000.0,255155000000.0,216756000000.0,101816000000.0,119074000000.0,10754000000.0,174142000000.0,0.138,0.0048,0.2344,1.18,0.86,0.232,,0.2966,
META,"Meta Platforms, Inc.",sec_edgar,2026-04-30,214963000000.0,70587000000.0,27.5,27.96,,88593000000.0,395250000000.0,151569000000.0,243681000000.0,109765000000.0,46753000000.0,23426000000.0,58748000000.0,,124000000000.0,0.3284,,0.5768,2.35,0.4,0.2897,0.62,-0.0155,0.2229
AVGO,Broadcom Inc.,sec_edgar,2026-06-09,75465000000.0,2992000000.0,6.01,6.1899999999999995,51524000000.0,32746000000.0,179158000000.0,91467000000.0,24941000000.0,42213000000.0,18862000000.0,19628000000.0,62655000000.0,4758000000.0,33622000000.0,0.0396,0.6828,0.4455,2.24,0.31,0.12,3.67,2.878,0.1247
TSLA,"Tesla, Inc.",sec_edgar,2026-04-23,97879000000.0,3862000000.0,1.09,1.1999999999999997,18661000000.0,4897000000.0,143724000000.0,58922000000.0,84116000000.0,69748000000.0,34138000000.0,16603000000.0,597600000.0,3755000000.0,16528000000.0,0.0395,0.1907,0.1689,2.04,27.78,0.0459,0.7,-0.4706,0.2079
LLY,ELI LILLY & Co,sec_edgar,2026-04-30,72249500000.0,25276700000.0,28.15,28.2,,,116576000000.0,,31198000000.0,54835000000.0,36634000000.0,5282000000.0,39370000000.0,941741406.0,20480400000.0,0.3499,,0.2835,1.5,0.13,0.8102,,0.9599,0.2717
JPM,JPMORGAN CHASE & CO,sec_edgar,2026-05-01,94849000000.0,58899000000.0,20.89,20.92,,,4900475000000.0,4536437000000.0,364038000000.0,,,278793000000.0,269929000000.0,2696200000.0,-107704000000.0,0.621,,-1.1355,,1.03,0.1618,12.46,0.0137,0.1061
