ticker,filed,form,fp,fy,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
AAPL,2009-07-22,10-Q,Q3,2009,,4039000000.0,4.47,7049000000.0,,,2.11,,0.156
AAPL,2009-10-27,10-K,FY,2009,,5704000000.0,6.29,10159000000.0,,,1.88,,0.2049
AAPL,2010-01-25,10-Q,Q1,2010,,3378000000.0,3.67,5781000000.0,,,2.55,,0.0944
AAPL,2010-04-21,10-Q,Q2,2010,,6452000000.0,7.0,8111000000.0,,,2.64,,0.164
AAPL,2010-07-21,10-Q,Q3,2010,,9705000000.0,10.51,12912000000.0,,,2.31,,0.2251
AAPL,2010-10-27,10-K,FY,2010,,14013000000.0,15.15,18595000000.0,,,2.01,,0.2932
AAPL,2011-01-19,10-Q,Q1,2011,,6004000000.0,6.43,9773000000.0,,,1.85,,0.1098
AAPL,2011-04-21,10-Q,Q2,2011,,11991000000.0,12.83,15992000000.0,,,1.93,,0.195
AAPL,2011-07-20,10-Q,Q3,2011,,19299000000.0,20.63,27100000000.0,,,1.75,,0.2783
AAPL,2011-10-26,10-K,FY,2011,,25922000000.0,27.68,37529000000.0,,,1.61,,0.3383
AAPL,2012-01-25,10-Q,Q1,2012,,13064000000.0,13.87,17554000000.0,,,1.58,,0.1451
AAPL,2012-04-25,10-Q,Q2,2012,,24686000000.0,26.17,31531000000.0,,,1.58,,0.2408
AAPL,2012-07-25,10-Q,Q3,2012,,33510000000.0,35.48,41720000000.0,,,1.57,,0.2999
AAPL,2012-10-31,10-K,FY,2012,,41733000000.0,44.15,50856000000.0,,,1.5,,0.353
AAPL,2013-01-24,10-Q,Q1,2013,,13078000000.0,13.81,23426000000.0,,,1.54,,0.1027
AAPL,2013-04-24,10-Q,Q2,2013,,22625000000.0,23.9,35930000000.0,,,1.78,,0.167
AAPL,2013-07-24,10-Q,Q3,2013,,29525000000.0,31.44,43758000000.0,,,1.88,,0.2394
AAPL,2013-10-30,10-K,FY,2013,,37037000000.0,39.75,53666000000.0,,,1.68,,0.2998
AAPL,2014-01-28,10-Q,Q1,2014,,13072000000.0,14.5,22670000000.0,,,1.49,,0.1008
AAPL,2014-04-24,10-Q,Q2,2014,,23295000000.0,26.16,,,,1.63,,0.1938
AAPL,2014-07-23,10-Q,Q3,2014,,31043000000.0,5.03,,,,1.47,,0.2567
AAPL,2014-10-27,10-K,FY,2014,,39510000000.0,6.45,,,,1.08,,0.3542
AAPL,2015-01-28,10-Q,Q1,2015,,18024000000.0,3.06,,,,1.13,,0.1461
AAPL,2015-04-28,10-Q,Q2,2015,,31593000000.0,5.39,,,,1.16,,0.2449
AAPL,2015-07-22,10-Q,Q3,2015,,42270000000.0,7.25,,,,1.09,0.32,0.3363
AAPL,2015-10-28,10-K,FY,2015,,53394000000.0,9.22,,,,1.11,0.4,0.4474
AAPL,2016-01-27,10-Q,Q1,2016,,18361000000.0,3.28,,,,1.0,0.31,0.1431
AAPL,2016-04-27,10-Q,Q2,2016,,28877000000.0,5.19,,,,1.28,0.31,0.2214
AAPL,2016-07-27,10-Q,Q3,2016,,36673000000.0,6.62,,,,1.31,0.26,0.2898
AAPL,2016-10-26,10-K,FY,2016,,45687000000.0,8.31,,,,1.35,0.27,0.3562
AAPL,2017-02-01,10-Q,Q1,2017,,17891000000.0,3.36,,,,1.23,0.22,0.1351
AAPL,2017-05-03,10-Q,Q2,2017,,28920000000.0,5.46,39579000000.0,,,1.39,0.18,0.2157
