ticker,trend,trend_strength,structure,continuation,breakout,pullback,rsi_divergence,bollinger,notes
A2A.MI,laterale,debole,LH-LL (ribassista), | ascending triangle,,False,"bullish (prezzo nuovo min, RSI no)",squeeze (compressione volatilita'),
AMP.MI,laterale,debole,mista,flag/pennant rialzista (consolidamento dopo impulso) | ascending triangle,,False,"bearish (prezzo nuovo max, RSI no)",squeeze (compressione volatilita'),
AZM.MI,laterale,debole,LH-LL (ribassista), | descending triangle,breakout rialzista sopra 36.73 (vol 3.1x),False,,walk upper band (forza),
BMED.MI,laterale,debole,mista, | descending triangle,breakout rialzista sopra 20.69 (vol 1.3x),False,"bearish (prezzo nuovo max, RSI no)",walk upper band (forza),
BMPS.MI,rialzista,moderato,mista,,breakout rialzista sopra 10.78 (vol debole 0.9x),False,,dentro le bande,
BAMI.MI,laterale,debole,mista,,breakout rialzista sopra 14.49 (vol debole 1.1x),False,,walk upper band (forza),
BPE.MI,laterale,debole,mista, | descending triangle,breakout rialzista sopra 13.10 (vol debole 1.2x),False,,walk upper band (forza),
BC.MI,laterale,debole,mista,,,False,,squeeze (compressione volatilita'),
BZU.MI,laterale,debole,mista, | descending triangle,breakout rialzista sopra 47.18 (vol debole 1.2x),False,,walk upper band (forza),
CPR.MI,laterale,debole,LH-LL (ribassista),flag/pennant ribassista | ascending triangle,,False,"bullish (prezzo nuovo min, RSI no)",squeeze (compressione volatilita'),
DIA.MI,laterale,debole,HH-HL (rialzista),,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
ENEL.MI,laterale,debole,LH-LL (ribassista),,,False,,squeeze (compressione volatilita'),
ENI.MI,laterale,debole,mista, | ascending triangle,breakdown sotto 22.27,False,,squeeze (compressione volatilita'),
RACE.MI,laterale,debole,mista, | ascending triangle,breakout rialzista sopra 318.50 (vol 1.3x),False,,walk upper band (forza),
FBK.MI,laterale,debole,LH-LL (ribassista),,breakout rialzista sopra 22.15 (vol debole 0.6x),False,,walk upper band (forza),
G.MI,rialzista,moderato,mista, | ascending triangle,breakout rialzista sopra 41.57 (vol debole 0.9x),False,,walk upper band (forza),
HER.MI,laterale,debole,LH-LL (ribassista), | descending triangle,,False,,dentro le bande,
IP.MI,laterale,debole,LH-LL (ribassista), | descending triangle,,False,,squeeze (compressione volatilita'),
ISP.MI,laterale,debole,mista,,breakout rialzista sopra 5.84 (vol debole 1.1x),False,,squeeze (compressione volatilita'),
INW.MI,laterale,debole,LH-LL (ribassista),flag/pennant ribassista | ascending triangle,,False,,squeeze (compressione volatilita'),
IVG.MI,ribassista,forte,mista, | descending triangle,,False,,squeeze (compressione volatilita'),
LDO.MI,laterale,debole,mista, | descending triangle,,False,,squeeze (compressione volatilita'),
MB.MI,rialzista,forte,mista,,breakout rialzista sopra 25.83 (vol debole 1.0x),False,,dentro le bande,
MONC.MI,laterale,debole,HH-HL (rialzista), | ascending triangle,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
NEXI.MI,laterale,debole,LH-LL (ribassista),flag/pennant ribassista | ascending triangle,,False,,squeeze (compressione volatilita'),
PIRC.MI,laterale,debole,HH-HL (rialzista), | ascending triangle,breakout rialzista sopra 6.38 (vol 1.6x),False,,walk upper band (forza),
PST.MI,rialzista,forte,,,breakout rialzista sopra 28.23 (vol 1.5x),False,,walk upper band (forza),
PRY.MI,laterale,debole,mista,,,False,"bearish (prezzo nuovo max, RSI no)",squeeze (compressione volatilita'),
