date,equity,cash,invested,n_pos,exposure
2018-10-11,100000.0,100000.0,0.0,0,0.0
2018-10-12,100000.0,100000.0,0.0,0,0.0
2018-10-15,100000.0,100000.0,0.0,0,0.0
2018-10-16,100000.0,100000.0,0.0,0,0.0
2018-10-17,100000.0,100000.0,0.0,0,0.0
2018-10-18,100000.0,80101.7362575531,19898.2637424469,2,0.198982637424469
2018-10-19,98768.36258125305,80101.7362575531,18666.62632369995,2,0.1889939838614173
2018-10-22,99291.73726272583,60381.857122421265,38909.880140304565,4,0.3918743010543673
2018-10-23,99199.5148487091,60381.857122421265,38817.65772628784,4,0.39130894728153987
2018-10-24,97722.89563560486,50616.11499595642,47106.78063964844,5,0.4820444618761922
2018-10-25,96588.04056739807,21724.19805908203,74863.84250831604,8,0.7750839759098009
2018-10-26,95018.75038146973,12248.41477203369,82770.33560943604,9,0.8710947605303138
2018-10-29,95374.26261901855,12248.41477203369,83125.84784698486,9,0.871575261127196
2018-10-30,96734.85313987732,12248.41477203369,84486.43836784363,9,0.873381574743049
2018-10-31,96597.82747650146,2602.5537757873517,93995.27370071411,10,0.9730578435998423
2018-11-01,97318.29083061218,175.97967338562012,97142.31115722656,10,0.9981917101925688
2018-11-02,97065.08197975159,175.97967338562012,96889.10230636597,10,0.9981869929969015
2018-11-05,98528.591173172,10344.606023788452,88183.98514938354,9,0.8950090943084027
2018-11-06,98844.143699646,524.6508846282959,98319.4928150177,10,0.9946921399185517
2018-11-07,97924.51582145691,985.8185329437256,96938.69728851318,10,0.9899328730433435
2018-11-08,98393.54446220398,1337.4354281425476,97056.10903406143,10,0.9864072847923849
2018-11-09,98849.02159404755,1588.610583782196,97260.41101026535,10,0.9839289194959735
2018-11-12,99554.02561759949,1588.610583782196,97965.41503381729,10,0.9840427288205876
2018-11-13,99621.82482671738,1588.610583782196,98033.21424293518,10,0.9840535887939673
2018-11-14,99389.59550476074,1645.3062067031879,97744.28929805756,10,0.9834458909069171
2018-11-15,99341.4529030323,21226.15373706818,78115.29916596413,8,0.7863313539637161
2018-11-16,98934.47908234596,21226.15373706818,77708.32534527779,8,0.7854524132137892
2018-11-19,99268.59900569916,1518.1741380691583,97750.42486763,10,0.9847064010847781
2018-11-20,98650.02864718437,1538.8016557693536,97111.22699141502,10,0.9844014069040692
2018-11-21,97517.77081513405,1409.1354036331231,96108.63541150093,10,0.985549962926199
2018-11-22,97413.21137690544,29829.713524818428,67583.49785208702,7,0.6937816431345943
2018-11-23,97979.6576769352,38711.44244098664,59268.21523594856,6,0.6049032691191014
2018-11-26,97045.27110981941,38711.44244098664,58333.82866883278,6,0.6010991365341277
2018-11-27,97476.36802887917,38711.44244098664,58764.92558789253,6,0.6028633070374795
2018-11-28,97537.43705868721,39056.22124981881,58481.21580886841,6,0.5995771221021616
2018-11-29,97621.85465931892,9945.942685365684,87675.91197395325,9,0.8981176630983394
2018-11-30,98554.06068921089,134.65176129341853,98419.40892791748,10,0.9986337269073262
2018-12-03,97329.14088177681,35.21314167977107,97293.92774009705,10,0.999638205563506
2018-12-04,95867.81779408456,608.2753937244506,95259.54240036011,10,0.9936550616492494
2018-12-05,95779.37396359445,973.858230829248,94805.5157327652,10,0.9898322760890104
2018-12-06,94979.8088438511,973.858230829248,94005.95061302185,10,0.9897466815033257
2018-12-07,93850.33952546121,973.858230829248,92876.48129463196,10,0.9896232849475728
2018-12-10,94036.67566132547,973.858230829248,93062.81743049622,10,0.9896438466802397
2018-12-11,94439.14327645303,973.858230829248,93465.28504562378,10,0.9896879810951009
2018-12-12,95238.63598465921,1507.0571813583465,93731.57880330086,10,0.9841759894419203
2018-12-13,95489.06634616852,20271.00116562844,75218.06518054008,8,0.7877139033683535
2018-12-14,94530.02965807915,20397.42973923684,74132.59991884232,8,0.7842227510875055
2018-12-17,93393.40848183632,46883.2607061863,46510.147775650024,5,0.49800246646630936
2018-12-18,93080.73844885826,55848.371484994896,37232.36696386337,4,0.4000007690562114
2018-12-19,93239.19717431068,65137.390278100975,28101.806896209717,3,0.30139477545772286
2018-12-20,93008.7053527832,65137.390278100975,27871.315074682236,3,0.2996635096571443
2018-12-21,92818.7160153389,55863.51009011269,36955.20592522621,4,0.39814390364028657
2018-12-24,94302.76704072952,55863.51009011269,38439.25695061684,4,0.40761536651427055
2018-12-26,92825.4003109932,55863.51009011269,36961.89022088051,4,0.3981872428995403
2018-12-27,92265.62405204773,64848.78698849679,27416.83706355095,3,0.29715115835649586
2018-12-28,91727.88599538803,74117.81049489975,17610.07550048828,2,0.19198170010561122
2018-12-31,90900.60237264633,83071.2423491478,7829.360023498535,1,0.08613100264618856
2019-01-02,90223.00213766098,83071.2423491478,7151.759788513183,1,0.07926758829861512
2019-01-03,90909.84258413315,73980.33631467819,16929.506269454956,2,0.18622302919276784
2019-01-04,89781.4049038887,73980.33631467819,15801.06858921051,2,0.17599489121523113
2019-01-07,89783.98851156235,56030.942762851715,33753.04574871063,4,0.37593613636761
2019-01-08,89459.34363079071,62335.7025513649,27123.64107942581,3,0.3031951720031424
2019-01-09,89193.66781425476,44511.08727312088,44682.58054113388,5,0.5009613533797609
2019-01-10,89613.37188959122,35575.575111866,54037.79677772522,6,0.6030104172879787
2019-01-11,89717.8562631607,8759.309374809265,80958.54688835144,9,0.9023682716056386
2019-01-14,89716.96549010277,8759.309374809265,80957.6561152935,9,0.9023673022492545
2019-01-15,90053.48106074333,8759.309374809265,81294.17168593407,9,0.9027321401501305
2019-01-16,89985.60211658478,8759.309374809265,81226.29274177551,9,0.9026587679720056
2019-01-17,90770.38148856163,9051.57244515419,81718.80904340744,9,0.900280550806159
2019-01-18,91519.6577103138,10.499332666397095,91509.1583776474,10,0.9998852778416236
2019-01-21,91403.81962418556,212.38779044151306,91191.43183374405,10,0.9976763794848534
2019-01-22,91128.44687771797,212.38779044151306,90916.05908727646,10,0.997669357947837
2019-01-23,91798.85986876488,1064.0503156185132,90734.80955314636,10,0.9884088939978157
2019-01-24,91456.43694448471,787.3245217800122,90669.1124227047,10,0.9913912618063403
2019-01-25,91747.99655532837,18720.77397060394,73027.22258472443,8,0.7959544112844531
2019-01-28,91768.9133245945,407.0475339889472,91361.86579060555,10,0.9955644289635512
2019-01-29,92543.59438753128,407.0475339889472,92136.54685354233,10,0.9956015590632409
2019-01-30,92846.23482561111,407.0475339889472,92439.18729162216,10,0.9956158961668883
2019-01-31,92803.20496320724,494.61826467513674,92308.5866985321,10,0.9946702458727451
2019-02-01,92348.85436725616,706.3092031478845,91642.54516410828,10,0.9923517275012529
2019-02-04,92800.37305736542,699.9998540878241,92100.37320327759,10,0.9924569284473121
2019-02-05,93285.47653913498,699.9998540878241,92585.47668504715,10,0.9924961539560323
2019-02-06,93493.77108907698,10.862292289724792,93482.90879678726,10,0.9998838180109414
2019-02-07,92022.8155016899,99.02541160582587,91923.79009008408,10,0.9989239036964263
2019-02-08,92395.3541111946,311.51126670836493,92083.84284448624,10,0.9966284964249018
2019-02-11,92805.05515766144,760.1682186126654,92044.88693904877,10,0.9918089783221263
2019-02-12,93100.77390861511,760.1682186126654,92340.60569000244,10,0.9918349957073522
2019-02-13,93345.06923723221,760.1682186126654,92584.90101861954,10,0.9918563645104731
2019-02-14,92818.07960653305,758.1869544982856,92059.89265203476,10,0.9918314733755283
2019-02-15,93428.4311747551,794.2007460594123,92634.23042869568,10,0.9914993676328152
2019-02-18,93414.77507162094,10505.950324535363,82908.82474708557,9,0.887534382901629
2019-02-19,93357.18999052048,1170.832023143761,92186.35796737671,10,0.9874585768566657
2019-02-20,93591.92983865736,1321.6050677299409,92270.32477092743,10,0.9858790702359889
2019-02-21,93882.57011651991,1362.293626308432,92520.27649021149,10,0.985489387171467
2019-02-22,93928.18840646742,1237.4915328025727,92690.69687366486,10,0.9868251314775984
2019-02-25,93728.17823839188,364.3866286277698,93363.7916097641,10,0.9961123043733873
2019-02-26,93866.73260641098,364.3866286277698,93502.3459777832,10,0.9961180429049803
2019-02-27,93071.33220148087,364.3866286277698,92706.94557285309,10,0.9960848671657675
2019-02-28,93881.31320428848,47.57943105696904,93833.7337732315,10,0.9994931959360918
2019-03-01,94057.64841604233,336.204244136803,93721.44417190552,10,0.9964255512465112
2019-03-04,93992.73358678816,131.60017919539496,93861.13340759277,10,0.9985998898619767
2019-03-05,93535.34610700606,5.433702945700134,93529.91240406036,10,0.9999419074908914
2019-03-06,93225.25177145004,4.978215217583056,93220.27355623245,10,0.9999466001418822
2019-03-07,93280.13043737411,129.17638349532353,93150.95405387878,10,0.9986151779281435
2019-03-08,93485.86583209038,384.7783579826282,93101.08747410774,10,0.995884101253619
2019-03-11,93704.50239467621,698.5035619735663,93005.99883270264,10,0.9925456776982655
2019-03-12,93986.66034293175,698.5035619735663,93288.15678095818,10,0.9925680563664575
2019-03-13,94373.43758058548,698.5035619735663,93674.93401861191,10,0.9925985152191037
2019-03-14,94962.95042967796,694.5359086990302,94268.41452097893,10,0.9926862433658972
2019-03-15,95543.76229000092,646.7037391662543,94897.05855083466,10,0.9932313347971022
2019-03-18,95613.58383727074,474.6319007873499,95138.95193648338,10,0.9950359365088213
2019-03-19,95848.10442495346,585.7828054428064,95262.32161951065,10,0.9938884257653581
2019-03-20,95746.25690436363,570.6986346244812,95175.55826973915,10,0.9940394679324694
2019-03-21,96310.46944904327,430.90805435180664,95879.56139469147,10,0.9955258441079472
2019-03-22,94883.05786800385,392.2455787658673,94490.81228923798,10,0.995866010354435
2019-03-25,94943.50981664658,805.8979134559631,94137.61190319061,10,0.9915118167106703
2019-03-26,95592.10652112961,805.8979134559631,94786.20860767365,10,0.9915694094127131
2019-03-27,95342.54957175255,805.8979134559631,94536.65165829659,10,0.9915473425340964
2019-03-28,95003.05715894699,816.3812336921692,94186.67592525482,10,0.9914067898643903
2019-03-29,95435.79084420204,875.7828421592712,94560.00800204277,10,0.9908233291261873
2019-04-01,96048.08304357529,922.4244132041949,95125.6586303711,10,0.9903962225588021
2019-04-02,96340.9526655674,972.4424414634723,95368.51022410393,10,0.989906240134046
2019-04-03,96772.08843111992,618.4684844017029,96153.61994671822,10,0.9936090199723041
2019-04-04,96547.52541732788,308.91698694228944,96238.60843038559,10,0.9968003634934506
2019-04-05,96856.74359083176,213.72082662582216,96643.02276420593,10,0.9977934336970001
2019-04-08,96950.64513087273,241.0809679031372,96709.56416296959,10,0.9975133639639251
2019-04-09,96574.52714252472,241.0809679031372,96333.44617462158,10,0.9975036795412174
2019-04-10,97007.68196797371,241.0809679031372,96766.60100007057,10,0.9975148260115861
2019-04-11,97226.66516685486,386.6506929397565,96840.0144739151,10,0.9960232031791257
2019-04-12,97879.32476425171,152.88008642196473,97726.44467782974,10,0.9984380757959846
2019-04-15,98559.10943889618,408.83340978622255,98150.27602910995,10,0.9958518962669839
2019-04-16,98986.1161327362,1155.8633503913861,97830.25278234482,10,0.9883229750236748
2019-04-17,99316.64408159256,831.5833973884564,98485.0606842041,10,0.9916269482816468
2019-04-18,99141.48792076111,962.1184363365155,98179.36948442459,10,0.9902955013434387
2019-04-22,98947.53519248962,1281.5682940483075,97665.96689844131,10,0.9870480018369817
2019-04-23,99494.01847171783,1562.0753931999225,97931.94307851791,10,0.9842998059863874
