date,equity,cash,invested,n_pos,exposure
2018-10-11,100000.0,100000.0,0.0,0,0.0
2018-10-12,100000.0,100000.0,0.0,0,0.0
2018-10-15,100000.0,100000.0,0.0,0,0.0
2018-10-16,100000.0,100000.0,0.0,0,0.0
2018-10-17,100000.0,100000.0,0.0,0,0.0
2018-10-18,100000.0,90115.29031181335,9884.709688186646,2,0.09884709688186645
2018-10-19,99386.2882862091,90115.29031181335,9270.997974395752,2,0.09328246515955461
2018-10-22,99647.24101638794,90115.29031181335,9531.950704574585,2,0.09565694551449713
2018-10-23,99587.44199562073,90115.29031181335,9472.151683807373,2,0.09511391691558764
2018-10-24,98981.09470176697,90115.29031181335,8865.804389953613,2,0.0895706843480217
2018-10-25,98390.84240913391,90115.29031181335,8275.552097320557,2,0.08410896679701883
2018-10-26,98019.20696640015,90115.29031181335,7903.916654586792,2,0.08063640687580918
2018-10-29,97917.08266830444,90115.29031181335,7801.792356491089,2,0.07967754087322818
2018-10-30,98023.23964881897,90115.29031181335,7907.949337005616,2,0.08067422955349032
2018-10-31,98216.43977928162,90115.29031181335,8101.149467468262,2,0.08248262190803997
2018-11-01,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-02,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-05,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-06,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-07,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-08,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-09,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-12,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-13,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-14,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-15,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-16,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-19,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-20,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-21,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-22,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-23,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-26,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-27,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-28,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-29,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-11-30,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-03,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-04,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-05,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-06,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-07,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-10,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-11,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-12,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-13,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-14,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-17,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-18,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-19,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-20,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-21,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-24,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-26,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-27,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-28,98567.19287872314,98567.19287872314,0.0,0,0.0
2018-12-31,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-02,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-03,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-04,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-07,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-08,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-09,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-10,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-11,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-14,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-15,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-16,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-17,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-18,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-21,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-22,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-23,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-24,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-25,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-28,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-29,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-30,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-01-31,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-01,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-04,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-05,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-06,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-07,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-08,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-11,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-12,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-13,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-14,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-15,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-18,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-19,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-20,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-21,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-22,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-25,98567.19287872314,98567.19287872314,0.0,0,0.0
2019-02-26,98567.19287872314,79000.62224197388,19566.570636749268,2,0.19850997137378085
2019-02-27,98128.33207321167,20176.209021806717,77952.12305140495,8,0.794389565220026
2019-02-28,98624.05617308617,10314.913115739822,88309.14305734634,9,0.8954117938767693
2019-03-01,98451.73004245758,473.37773060798645,97978.3523118496,10,0.9951917784440777
2019-03-04,98507.35452699661,473.37773060798645,98033.97679638863,10,0.9951944935189763
2019-03-05,98816.49908256531,473.37773060798645,98343.12135195732,10,0.9952095274068306
2019-03-06,99080.57241487503,473.37773060798645,98607.19468426704,10,0.9952222951576638
2019-03-07,99358.67921090126,473.37773060798645,98885.30148029327,10,0.9952356680426158
2019-03-08,99223.06774759293,473.37773060798645,98749.69001698494,10,0.995229156471838
2019-03-11,99362.12768101692,473.37773060798645,98888.74995040894,10,0.9952358333939096
2019-03-12,99664.33104133606,466.2762749195099,99198.05476641655,10,0.9953215330896454
2019-03-13,100058.4366452694,653.302773475647,99405.13387179375,10,0.9934707877178637
2019-03-14,100512.37326359749,672.3331918716449,99840.04007172585,10,0.9933109410310269
2019-03-15,101281.21163463593,496.94857025146666,100784.26306438446,10,0.9950933785029729
2019-03-18,101396.39201664925,496.94857025146666,100899.44344639778,10,0.9950989521385547
2019-03-19,101627.50711607933,496.94857025146666,101130.55854582787,10,0.9951100978036994
2019-03-20,101383.94379615784,496.94857025146666,100886.99522590637,10,0.995098350373402
2019-03-21,102111.85569643974,496.94857025146666,101614.90712618828,10,0.9951332921445596
2019-03-22,100730.57705879211,496.94857025146666,100233.62848854065,10,0.9950665569009753
2019-03-25,100888.6774585247,496.94857025146666,100391.72888827324,10,0.9950742879897919
2019-03-26,101953.62871289253,392.1794128418005,101561.44930005074,10,0.9961533550321569
2019-03-27,101418.59478068352,414.2867069244385,101004.30807375908,10,0.9959150813731907
2019-03-28,101338.60661029816,168.60293507575807,101170.0036752224,10,0.9983362418261371
2019-03-29,101764.07332396507,158.72562432288942,101605.34769964218,10,0.9984402587363265
2019-04-01,101678.950776577,158.72562432288942,101520.2251522541,10,0.998438952968037
2019-04-02,101699.89028954506,158.72562432288942,101541.16466522217,10,0.9984392743800313
2019-04-03,101918.73880314827,158.72562432288942,101760.01317882538,10,0.998442625701742
2019-04-04,101723.41345262527,158.72562432288942,101564.68782830238,10,0.9984396352920578
2019-04-05,101959.34987640381,158.72562432288942,101800.62425208092,10,0.9984432460140703
2019-04-08,101939.55280399323,158.72562432288942,101780.82717967033,10,0.9984429436861658
2019-04-09,101679.69230747223,80.85001254081726,101598.84229493141,10,0.9992048558497174
2019-04-10,101776.93223905563,76.51389765739441,101700.41834139824,10,0.9992482196508176
2019-04-11,101869.32447075844,466.15338492393494,101403.1710858345,10,0.9954240063203939
2019-04-12,103669.68011689186,302.13215804100037,103367.54795885086,10,0.9970856266007541
2019-04-15,104215.7605946064,302.13215804100037,103913.6284365654,10,0.9971008976347034
2019-04-16,104083.3156683445,302.13215804100037,103781.1835103035,10,0.9970972085573856
2019-04-17,104753.90244364738,302.13215804100037,104451.77028560638,10,0.997115790906181
2019-04-18,104414.29087424278,302.13215804100037,104112.15871620178,10,0.9971064099031722
2019-04-22,104186.60981345177,302.13215804100037,103884.47765541077,10,0.9971000864834553
2019-04-23,104460.11070370674,302.13215804100037,104157.97854566574,10,0.9971076791322003
2019-04-24,104628.80387997627,243.62769103050232,104385.17618894577,10,0.9976715045762161
2019-04-25,104770.68870854378,592.4839594364166,104178.20474910736,10,0.9943449454543091
2019-04-26,104825.67181038857,354.2649271488208,104471.40688323975,10,0.9966204373315191
2019-04-29,105250.1464035511,344.8571035861987,104905.2892999649,10,0.996723452504627
2019-04-30,105621.27241253853,344.8571035861987,105276.41530895233,10,0.9967349654505274
2019-05-01,105174.33459210396,344.8571035861987,104829.47748851776,10,0.9967210907021788
2019-05-02,103596.92759633064,344.8571035861987,103252.07049274445,10,0.996671164757608
2019-05-03,103248.56046032906,344.8571035861987,102903.70335674286,10,0.9966599330581591
2019-05-06,102469.48022294044,344.8571035861987,102124.62311935425,10,0.9966345383734171
2019-05-07,100990.69585347176,344.8571035861987,100645.83874988556,10,0.9965852586649512
2019-05-08,101516.25767350197,10948.3763153553,90567.88135814667,10,0.8921514980332744
2019-05-09,100444.8664162159,40110.31217122078,60334.55424499512,10,0.6006733484515309
2019-05-10,100551.40103888512,45331.34276127815,55220.058277606964,10,0.5491724402353412
2019-05-13,99793.0013434887,50404.236953020096,49388.7643904686,10,0.4949121053135969
2019-05-14,100799.80440163612,50404.236953020096,50395.56744861603,10,0.4999569964224855
2019-05-15,100884.07184267044,50404.236953020096,50479.834889650345,10,0.5003746772669334
2019-05-16,101255.2867436409,50404.236953020096,50851.049790620804,10,0.5022063679436904
