ticker,score,segnale_tecnico,segnale_flow,segnale_decayed,price,rsi,adx,atr_pct,mom6m,sma20,sma50,sma200,date
LIN,0.357,0.381,0.333,0.381,522.28,60.4,13.0,0.98,23.3,510.81,506.94,468.38,2026-06-25T20:22:33.592973
INTC,0.3,0.601,0.0,0.601,132.87,61.3,27.7,5.0,265.3,119.05,107.12,57.71,2026-06-25T20:22:33.592973
GOOGL,0.294,0.089,0.5,0.089,343.71,30.4,19.4,1.51,11.0,363.45,369.27,313.36,2026-06-25T20:22:33.592973
STMPA.PA,0.231,0.461,0.0,0.461,65.06,53.9,31.4,3.17,194.3,65.09,55.12,32.33,2026-06-25T20:22:33.592973
STMMI.MI,0.231,0.462,0.0,0.462,65.05,53.9,31.7,3.18,193.6,65.09,55.13,32.33,2026-06-25T20:22:33.592973
TXN,0.203,0.405,0.0,0.405,311.81,52.2,22.5,3.35,74.4,303.85,289.34,212.77,2026-06-25T20:22:33.592973
EDEN.PA,0.202,0.405,0.0,0.405,22.06,50.7,27.8,3.01,18.0,22.06,21.69,19.93,2026-06-25T20:22:33.592973
ENGI.PA,0.19,0.38,0.0,0.38,27.06,51.7,14.8,0.91,21.7,26.9,27.31,24.22,2026-06-25T20:22:33.592973
CVX,0.19,0.213,0.167,0.213,172.24,27.1,20.0,1.46,15.0,182.48,185.74,172.15,2026-06-25T20:22:33.592973
VIE.PA,0.189,0.378,0.0,0.378,36.15,67.3,12.2,0.73,23.2,35.25,35.16,31.82,2026-06-25T20:22:33.592973
MRK,0.188,0.375,0.0,0.375,125.45,61.0,16.1,1.34,19.8,118.19,115.62,106.11,2026-06-25T20:22:33.592973
PRY.MI,0.187,0.374,0.0,0.374,148.1,53.3,13.7,2.02,73.8,147.71,142.3,104.56,2026-06-25T20:22:33.592973
JNJ,0.184,0.369,0.0,0.369,244.88,69.3,16.7,1.26,18.1,233.16,230.34,216.95,2026-06-25T20:22:33.592973
LR.PA,0.183,0.367,0.0,0.367,147.65,54.3,18.9,2.06,16.3,144.05,148.71,140.05,2026-06-25T20:22:33.592973
SU.PA,0.182,0.364,0.0,0.364,279.55,57.7,14.8,1.74,18.5,276.57,272.86,250.2,2026-06-25T20:22:33.592973
AMAT,0.18,0.36,0.0,0.36,668.0,70.2,31.2,4.4,157.9,537.94,463.56,327.04,2026-06-25T20:22:33.592973
UCG.MI,0.179,0.359,0.0,0.359,78.19,65.6,25.5,1.48,11.0,75.38,71.8,68.29,2026-06-25T20:22:33.592973
XLI,0.178,0.355,0.0,0.355,184.12,62.2,14.3,1.27,17.2,176.57,174.16,163.74,2026-06-25T20:22:33.592973
GE,0.171,0.175,0.167,0.175,371.36,76.0,35.3,1.62,18.0,337.7,311.68,307.11,2026-06-25T20:22:33.592973
TRN.MI,0.167,0.334,0.0,0.334,10.22,58.0,13.7,0.74,13.7,10.1,10.06,9.43,2026-06-25T20:22:33.592973
^STOXX50E,0.165,0.33,0.0,0.33,6267.53,68.2,19.2,0.64,9.6,6160.31,6017.94,5806.3,2026-06-25T20:22:33.592973
XLB,0.165,0.329,0.0,0.329,51.84,51.1,12.8,1.32,13.5,51.36,51.32,48.19,2026-06-25T20:22:33.592973
ENEL.MI,0.164,0.327,0.0,0.327,10.064,68.4,9.8,0.82,15.2,9.74,9.73,9.15,2026-06-25T20:22:33.592973
AI.PA,0.162,0.323,0.0,0.323,171.4,59.0,21.3,1.08,7.2,166.74,175.31,170.22,2026-06-25T20:22:33.592973
UNH,0.161,0.323,0.0,0.323,415.53,64.9,35.2,1.1,27.8,399.55,380.64,335.47,2026-06-25T20:22:33.592973
AAPL,0.157,0.148,0.167,0.148,275.15,22.9,23.9,1.73,1.5,299.73,291.15,269.21,2026-06-25T20:22:33.592973
XLU,0.155,0.309,0.0,0.309,45.85,69.7,15.9,0.76,8.0,44.42,45.04,44.62,2026-06-25T20:22:33.592973
REC.MI,0.153,0.305,0.0,0.305,51.3,64.3,17.1,0.29,6.6,50.89,50.6,49.72,2026-06-25T20:22:33.592973
FBK.MI,0.147,0.295,0.0,0.295,22.24,68.8,25.0,1.11,0.4,21.78,21.51,20.59,2026-06-25T20:22:33.592973
AZM.MI,0.145,0.29,0.0,0.29,36.58,65.3,19.6,1.11,2.6,36.17,36.05,34.6,2026-06-25T20:22:33.592973
SPM.MI,0.145,0.29,0.0,0.29,4.402,49.9,15.3,2.47,85.2,4.46,4.4,3.21,2026-06-25T20:22:33.592973
^FCHI,0.144,0.288,0.0,0.288,8431.61,67.2,16.7,0.53,4.0,8298.86,8201.09,8126.92,2026-06-25T20:22:33.592973
ISP.MI,0.143,0.285,0.0,0.285,6.03,67.4,19.2,1.21,2.0,5.87,5.79,5.66,2026-06-25T20:22:33.592973
ENI.MI,0.143,0.287,0.0,0.287,20.48,21.2,21.5,1.86,28.8,22.47,22.92,18.91,2026-06-25T20:22:33.592973
CSCO,0.142,0.284,0.0,0.284,118.97,31.9,27.5,1.83,52.3,121.54,108.06,83.7,2026-06-25T20:22:33.592973
TTE.PA,0.137,0.273,0.0,0.273,69.27,18.2,24.1,1.31,24.0,74.31,76.18,64.17,2026-06-25T20:22:33.592973
GS,0.132,0.164,0.1,0.164,1065.09,44.6,30.1,1.71,18.5,1060.07,988.48,883.56,2026-06-25T20:22:33.592973
CA.PA,0.13,0.259,0.0,0.259,16.255,49.3,18.7,1.39,15.1,16.17,16.58,14.71,2026-06-25T20:22:33.592973
TEN.MI,0.129,0.259,0.0,0.259,25.09,32.5,18.0,1.64,54.8,26.31,26.3,20.69,2026-06-25T20:22:33.592973
XLE,0.125,0.249,0.0,0.249,54.09,28.8,19.3,1.45,22.3,56.39,57.22,51.11,2026-06-25T20:22:33.592973
SRG.MI,0.123,0.246,0.0,0.246,6.314,51.2,20.1,0.83,11.9,6.31,6.42,5.94,2026-06-25T20:22:33.592973
XOM,0.112,0.224,0.0,0.224,137.55,25.4,20.8,1.53,16.4,145.23,149.11,135.06,2026-06-25T20:22:33.592973
EN.PA,0.108,0.215,0.0,0.215,50.14,49.8,9.9,0.8,13.0,49.89,50.47,46.05,2026-06-25T20:22:33.592973
BMPS.MI,0.107,0.215,0.0,0.215,10.952,88.8,42.2,1.69,22.6,10.2,9.51,8.44,2026-06-25T20:22:33.592973
FTSEMIB.MI,0.107,0.214,0.0,0.214,51782.91,69.8,19.1,0.66,15.7,51182.1,49755.56,45637.38,2026-06-25T20:22:33.592973
MT.AS,0.106,0.211,0.0,0.211,54.28,35.1,14.4,2.18,41.9,57.98,54.94,44.29,2026-06-25T20:22:33.592973
G.MI,0.096,0.193,0.0,0.193,42.87,83.4,38.2,1.01,20.0,40.94,39.33,35.41,2026-06-25T20:22:33.592973
MB.MI,0.096,0.192,0.0,0.192,26.19,87.5,57.7,1.66,50.0,24.5,22.04,18.65,2026-06-25T20:22:33.592973
TIT.MI,0.095,0.19,0.0,0.19,7.97,74.3,44.5,1.14,58.8,7.66,7.2,5.84,2026-06-25T20:22:33.592973
LLY,0.092,0.183,0.0,0.183,1127.69,50.8,29.0,0.97,4.8,1117.71,1025.24,973.63,2026-06-25T20:22:33.592973
BNP.PA,0.09,0.18,0.0,0.18,103.0,82.8,20.8,0.99,27.8,96.91,93.24,84.02,2026-06-25T20:22:33.592973
CAT,0.09,0.581,-0.4,0.581,1057.01,65.2,28.4,2.59,81.5,934.17,890.83,682.23,2026-06-25T20:22:33.592973
ORA.PA,0.089,0.177,0.0,0.177,17.005,41.9,30.2,1.11,21.0,17.45,17.77,15.83,2026-06-25T20:22:33.592973
BPE.MI,0.089,0.178,0.0,0.178,13.568,84.8,35.8,1.44,18.3,12.83,12.43,11.28,2026-06-25T20:22:33.592973
XLK,0.088,0.176,0.0,0.176,184.57,43.1,20.5,2.42,27.1,187.53,175.43,150.4,2026-06-25T20:22:33.592973
UNI.MI,0.086,0.172,0.0,0.172,24.17,80.8,32.3,1.58,18.8,22.99,22.4,20.15,2026-06-25T20:22:33.592973
XLRE,0.084,0.167,0.0,0.167,44.59,51.8,13.5,0.82,10.9,44.39,44.23,42.27,2026-06-25T20:22:33.592973
BAMI.MI,0.079,0.158,0.0,0.158,15.31,82.6,28.1,1.5,18.5,14.42,13.48,12.72,2026-06-25T20:22:33.592973
XLP,0.074,0.148,0.0,0.148,83.94,58.2,13.3,0.99,7.8,83.75,83.74,81.63,2026-06-25T20:22:33.592973
ML.PA,0.07,0.14,0.0,0.14,33.89,70.3,17.8,1.04,21.5,32.64,31.96,30.39,2026-06-25T20:22:33.592973
BMED.MI,0.07,0.14,0.0,0.14,22.03,86.5,30.2,1.1,14.1,20.71,19.76,18.5,2026-06-25T20:22:33.592973
PST.MI,0.065,0.13,0.0,0.13,28.26,70.2,56.8,1.57,31.4,27.29,25.03,22.19,2026-06-25T20:22:33.592973
QCOM,0.064,0.129,0.0,0.129,204.9,36.7,20.4,4.94,17.6,220.2,197.6,167.77,2026-06-25T20:22:33.592973
^NDX,0.061,0.122,0.0,0.122,29440.322,43.8,21.6,1.91,15.6,29835.05,28822.72,25951.32,2026-06-25T20:22:33.592973
