date,equity,cash,invested,n_pos,exposure
2018-10-18,100000.0,70068.99010658264,29931.00989341736,3,0.2993100989341736
2018-10-19,98881.05753135681,70068.99010658264,28812.06742477417,3,0.2913810606812876
2018-10-22,99375.0094947815,40411.41056251526,58963.598932266235,6,0.5933443350801653
2018-10-23,99326.12625694275,40411.41056251526,58914.71569442749,6,0.5931441999663148
2018-10-24,97550.08229255676,20953.18053627014,76596.90175628662,8,0.7852059163473519
2018-10-25,96563.01468467712,1707.0109539031982,94856.00373077393,10,0.9823223108818901
2018-10-26,94576.29232788086,1707.0109539031982,92869.28137397766,10,0.9819509634826319
2018-10-29,95208.3186454773,1707.0109539031982,93501.3076915741,10,0.9820707793374703
2018-10-30,96995.89341926575,1707.0109539031982,95288.88246536255,10,0.9824012038682439
2018-10-31,96672.58003044128,1707.0109539031982,94965.56907653809,10,0.9823423461609727
2018-11-01,97112.50146102905,18985.423419952393,78127.07804107666,8,0.8045007271533297
2018-11-02,97245.84203338623,18985.423419952393,78260.41861343384,8,0.8047687898734595
2018-11-05,98334.85974884033,39555.262104034424,58779.59764480591,6,0.5977493413316136
2018-11-06,98893.41176223755,244.5046157836914,98648.90714645386,10,0.9975275944936399
2018-11-07,100081.83135223389,229.1448211669922,99852.6865310669,10,0.9977104253782035
2018-11-08,100304.9086227417,126.18563461303893,100178.72298812866,10,0.9987419794669508
2018-11-09,100253.58059310913,126.18563461303893,100127.3949584961,10,0.9987413353830705
2018-11-12,99169.16405105591,126.18563461303893,99042.97841644287,10,0.998727571863487
2018-11-13,98947.04317474365,126.18563461303893,98820.85754013062,10,0.9987247154582458
2018-11-14,98278.43558502197,126.18563461303893,98152.24995040894,10,0.9987160394458673
2018-11-15,99048.2349243164,162.55338668823424,98885.68153762817,10,0.9983588462044534
2018-11-16,99583.08936691284,162.55338668823424,99420.53598022461,10,0.9983676607371629
2018-11-19,99129.44332885742,603.8141174316424,98525.62921142578,10,0.993908831754169
2018-11-20,96821.4780292511,41.7667293548584,96779.71129989624,10,0.9995686212377151
2018-11-21,96147.6544971466,678.6675090789795,95468.98698806763,10,0.9929414033797452
2018-11-23,96002.43731498718,10020.887754440308,85981.54956054688,9,0.8956184026707422
2018-11-26,96199.5964794159,10020.887754440308,86178.70872497559,9,0.8958323306835855
2018-11-27,97192.56300163269,10020.887754440308,87171.67524719238,9,0.8968965582863375
2018-11-28,97705.80898475647,10020.887754440308,87684.92123031616,9,0.8974381578888139
2018-11-29,97668.17450141907,262.57667350769043,97405.59782791138,10,0.9973115431423992
2018-11-30,98999.21632575989,493.9472942352277,98505.26903152466,10,0.9950105938959165
2018-12-03,98329.74775123596,493.9472942352277,97835.80045700073,10,0.9949766240071635
2018-12-04,97712.51371192932,375.6370334625226,97336.8766784668,10,0.9961556916387397
2018-12-06,97789.7280368805,39510.10910987854,58279.61892700195,6,0.5959687187699544
2018-12-07,96689.31073188782,39584.17929267883,57105.131439208984,6,0.5906043905676112
2018-12-10,97166.9619846344,49259.29916572571,47907.66281890869,5,0.49304477407130026
2018-12-11,97166.27791023254,49259.29916572571,47906.978744506836,5,0.49304120498230763
2018-12-12,97116.36085700989,39582.49933052063,57533.86152648926,6,0.592421925809182
2018-12-13,97836.10557746887,39582.49933052063,58253.60624694824,6,0.5954203297761245
2018-12-14,96544.00956916809,39406.79016304016,57137.21940612793,6,0.5918256312442925
2018-12-17,94951.24959754944,48807.86981391907,46143.37978363037,5,0.48596916817007607
2018-12-18,95209.89930152893,48807.86981391907,46402.02948760986,5,0.4873655977794393
2018-12-19,94918.43940162659,57569.21957588196,37349.21982574463,4,0.3934875042320237
2018-12-20,94600.72967720032,57569.21957588196,37031.51010131836,4,0.39145057577968456
2018-12-21,94231.93940925598,75757.54948616028,18474.389923095703,2,0.19605231558336203
2018-12-24,93468.4699420929,75757.54948616028,17710.920455932617,2,0.18948550743266873
2018-12-26,93883.45912361145,75757.54948616028,18125.909637451172,2,0.19306819120912164
2018-12-27,94151.2090549469,85041.22938728333,9109.979667663574,1,0.09675903006563585
2018-12-28,94068.04941749573,85041.22938728333,9026.820030212402,1,0.09596053161631204
2018-12-31,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-02,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-03,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-04,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-07,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-08,94141.30920600891,94141.30920600891,0.0,0,0.0
2019-01-09,94141.30920600891,84747.19945526123,9394.10975074768,1,0.09978732853810862
2019-01-10,94148.23955345154,66015.63338470459,28132.60616874695,3,0.2988118131807977
2019-01-11,94146.93375205994,66015.63338470459,28131.300367355347,3,0.2988020878241277
2019-01-14,93932.59990501404,66015.63338470459,27916.96652030945,3,0.2972021060690269
2019-01-15,94340.72944259644,66015.63338470459,28325.096057891846,3,0.30024249574121464
2019-01-16,94278.38227081299,66015.63338470459,28262.7488861084,3,0.2997797395899746
2019-01-17,94603.89582824707,66015.63338470459,28588.26244354248,3,0.3021890609604951
2019-01-18,94660.40295410156,66015.63338470459,28644.769569396973,3,0.3026056162394121
2019-01-22,94584.94346618652,9615.663974761961,84969.27949142456,9,0.8983383229678675
2019-01-23,95289.84146499634,116.17393112182435,95173.66753387451,10,0.998780836138084
2019-01-24,94687.6996459961,485.31423568725404,94202.38541030884,10,0.994874579934863
2019-01-25,95177.98136520386,218.53258323669434,94959.44878196716,10,0.9977039586246511
2019-01-28,94528.3579826355,218.53258323669434,94309.8253993988,10,0.9976881796330701
2019-01-29,94334.93278694153,218.53258323669434,94116.40020370483,10,0.9976834394557713
2019-01-30,95764.64727592468,218.53258323669434,95546.11469268799,10,0.9977180244541909
2019-01-31,95903.81765556335,218.53258323669434,95685.28507232666,10,0.9977213359324073
2019-02-01,95496.6683254242,218.53258323669434,95278.1357421875,10,0.9977116208652222
2019-02-04,95986.54222488403,218.53258323669434,95768.00964164734,10,0.9977232997650368
2019-02-05,96372.91701316833,39128.71235847473,57244.2046546936,6,0.5939864271916953
2019-02-06,96497.02670288086,10432.521760940552,86064.50494194031,9,0.8918876351178902
2019-02-07,96200.63178825378,9594.841981887817,86605.78980636597,9,0.9002621728825344
2019-02-08,96827.8766784668,19644.23952102661,77183.63715744019,8,0.7971220665484734
2019-02-11,97180.49728393555,9985.619815826416,87194.87746810913,9,0.8972466688799596
2019-02-12,97823.10221481323,9985.619815826416,87837.48239898682,9,0.8979216607351233
2019-02-13,97557.54698562622,250.0196418762207,97307.52734375,10,0.9974372086055725
2019-02-14,96256.41697311401,250.0196418762207,96006.3973312378,10,0.9974025665016593
2019-02-15,96557.90040969849,250.0196418762207,96307.88076782227,10,0.9974106764872126
2019-02-19,96648.93658828735,250.0196418762207,96398.91694641113,10,0.9974131154392182
2019-02-20,96964.01861572266,32.27926254272461,96931.73935317993,10,0.9996671006110973
2019-02-21,97221.56829452515,612.0966835021991,96609.47161102295,10,0.9937041060513662
2019-02-22,97995.56959533691,10661.256320953371,87334.31327438354,9,0.891206751846252
2019-02-25,98550.82328033447,901.9361457824707,97648.887134552,10,0.9908480100342049
2019-02-26,98686.95986938477,920.956226348877,97766.00364303589,10,0.9906679035652959
2019-02-27,99073.27320861816,920.956226348877,98152.31698226929,10,0.9907042919192786
2019-02-28,99384.19532775879,835.2262229919434,98548.96910476685,10,0.9915959854558619
2019-03-01,99701.33045959473,835.2262229919434,98866.10423660278,10,0.9916227173785767
2019-03-04,99281.40341186523,835.2262229919434,98446.17718887329,10,0.9915872842819613
2019-03-05,99250.95739364624,835.2262229919434,98415.7311706543,10,0.9915847036147037
2019-03-06,99142.27391052246,19645.035984039307,79497.23792648315,8,0.8018500563970393
2019-03-07,99083.01542663574,40268.55131530762,58814.464111328125,6,0.5935877492028515
2019-03-08,99165.31160354614,40268.55131530762,58896.760288238525,6,0.593925026159373
2019-03-11,99212.76271057129,40405.486015319824,58807.276695251465,6,0.5927390296227024
2019-03-12,98793.06287384033,11003.778827667236,87789.2840461731,9,0.8886178998041678
2019-03-13,99224.81457901001,1156.7788276672363,98068.03575134277,10,0.9883418393617039
2019-03-14,99398.82329940796,1241.1893119812012,98157.63398742676,10,0.9875130381750847
2019-03-15,99950.48264694214,1241.1893119812012,98709.29333496094,10,0.9875819577943862
2019-03-18,99796.4144821167,1241.1893119812012,98555.2251701355,10,0.9875627865147037
2019-03-19,99604.80076980591,1241.1893119812012,98363.6114578247,10,0.9875388605530201
2019-03-20,99831.11819458008,1241.1893119812012,98589.92888259888,10,0.987567109991075
2019-03-21,101088.8569946289,75.99602508545104,101012.86096954346,10,0.9992482254983901
2019-03-22,99685.59440994263,75.99602508545104,99609.59838485718,10,0.9992376428556675
2019-03-25,99943.05152511597,310.0956115722656,99632.9559135437,10,0.9968972769308095
2019-03-26,100526.42422485352,749.7462005615216,99776.67802429199,10,0.9925417997671486
2019-03-27,99958.09955596924,876.6755828857404,99081.4239730835,10,0.991229569321745
2019-03-28,99843.42066192627,869.6360473632794,98973.78461456299,10,0.99129000146832
2019-03-29,100596.46326446533,869.6360473632794,99726.82721710205,10,0.9913552025673404
2019-04-01,100961.71488571167,869.6360473632794,100092.07883834839,10,0.9913864770586781
2019-04-02,100927.56847000122,869.6360473632794,100057.93242263794,10,0.9913835628803268
2019-04-03,101012.67260742188,869.6360473632794,100143.0365600586,10,0.9913908223105525
2019-04-04,100764.64256286621,642.7524452209473,100121.89011764526,10,0.9936212501838635
2019-04-05,101095.62187576294,642.7524452209473,100452.86943054199,10,0.9936421337215687
2019-04-08,101130.74352645874,278.2128562927264,100852.53067016602,10,0.9972489784353268
2019-04-09,100543.72273635864,2378.9421768188477,98164.7805595398,10,0.9763392272329442
2019-04-10,100965.83284378052,2096.812049865721,98869.0207939148,10,0.9792324592309359
2019-04-11,100775.79293060303,2104.8126678466797,98670.98026275635,10,0.9791139061610151
2019-04-12,102676.68267440796,2104.8126678466797,100571.87000656128,10,0.9795005778038123
2019-04-15,102873.06329345703,2104.8126678466797,100768.25062561035,10,0.9795397103919957
2019-04-16,103021.87169265747,2104.8126678466797,100917.05902481079,10,0.9795692639508053
2019-04-17,102723.0330734253,2104.8126678466797,100618.22040557861,10,0.9795098274956291
2019-04-18,102711.41297149658,1409.508850097658,101301.90412139893,10,0.9862769987353907
2019-04-22,102184.27800369263,1409.508850097658,100774.76915359497,10,0.9862062063006726
2019-04-23,102521.93606948853,1286.8281250000018,101235.10794448853,10,0.9874482654704473
2019-04-24,102996.83556365967,22.729217529298694,102974.10634613037,10,0.9997793212053078
2019-04-25,103305.76510620117,1532.3692779541034,101773.39582824707,10,0.9851666625151192
2019-04-26,104362.53150558472,1268.3498802185077,103094.18162536621,10,0.9878466930427935
2019-04-29,104710.99608230591,1268.3498802185077,103442.6462020874,10,0.9878871376677427
2019-04-30,104570.82847213745,1268.3498802185077,103302.47859191895,10,0.9878709014861018
2019-05-01,103354.39738082886,1268.3498802185077,102086.04750061035,10,0.9877281478837806
2019-05-02,103040.9268989563,1268.3498802185077,101772.5770187378,10,0.9876908145298201
2019-05-03,103965.5891532898,1473.5312538146973,102492.0578994751,10,0.9858267406954999
2019-05-06,103566.21146774292,1473.5312538146973,102092.68021392822,10,0.9857720849982656
2019-05-07,101817.29493331909,1742.091464996338,100075.20346832275,10,0.9828900240756028
2019-05-08,102283.1590385437,701.9266777038574,101581.23236083984,10,0.9931374169090793
2019-05-09,102111.3512840271,568.3366813659668,101543.01460266113,10,0.9944341478766144
2019-05-10,103139.46145248413,877.1261558532697,102262.33529663086,10,0.9914957268197744
2019-05-13,101314.11113357544,877.1261558532697,100436.98497772217,10,0.9913425075141128
2019-05-14,102083.29371261597,877.1261558532697,101206.1675567627,10,0.9914077404445575
