ticker,entity,unicorn_score,rev_latest,rev_cagr_3y,rev_cagr_5y,rev_yoy,gross_margin,gm_trend_3y,net_margin,cash_to_lt_debt,profile,n_years
PLTR,Palantir Technologies Inc.,88.8,4475446000.0,0.3292,0.3258,0.5618,0.8237,0.038,0.3631,,crescita ricavi 56% (iper-growth); gross margin 82% (software-like); margine in salita (+3.8pp/3Y); mid-cap; profittevole in crescita,8
ELF,"e.l.f. Beauty, Inc.",80.9,1636472000.0,0.414,0.3876,0.2459,0.7072,0.0328,0.0161,0.34,crescita ricavi 41% (iper-growth); gross margin 71% (software-like); margine in salita (+3.3pp/3Y); small-cap (ampio spazio); profittevole in crescita,11
CELH,"CELSIUS HOLDINGS, INC.",79.1,2515269000.0,0.5671,0.8065,0.8554,0.5039,0.0894,0.0429,0.82,crescita ricavi 86% (iper-growth); gross margin 50%; margine in salita (+8.9pp/3Y); mid-cap; profittevole in crescita,9
BILL,"BILL HOLDINGS, INC.",77.4,1462570000.0,0.3158,0.5614,0.1336,0.814,0.0398,0.0163,0.54,crescita ricavi 32%; gross margin 81% (software-like); margine in salita (+4.0pp/3Y); small-cap (ampio spazio); profittevole in crescita,8
S,"SENTINELONE, INC",75.3,1001278000.0,0.3336,0.6083,0.2189,0.7412,0.0827,-0.4502,,"crescita ricavi 33%; gross margin 74% (software-like); margine in salita (+8.3pp/3Y); small-cap (ampio spazio); non profittevole (nm -45%, high-beta)",7
PODD,INSULET CORPORATION,69.0,2708100000.0,0.369,0.2453,0.3073,0.7163,-0.047,0.0912,0.63,crescita ricavi 37%; gross margin 72% (software-like); mid-cap; profittevole in crescita,17
GTLB,GITLAB INC.,68.0,955224000.0,0.3106,0.4439,0.2581,0.8736,-0.0046,-0.0586,,"crescita ricavi 31%; gross margin 87% (software-like); small-cap (ampio spazio); non profittevole (nm -6%, high-beta)",7
DDOG,"Datadog, Inc.",65.5,3427158000.0,0.2695,0.4153,0.2768,0.7996,0.0066,0.0314,,crescita ricavi 28%; gross margin 80% (software-like); margine in salita (+0.7pp/3Y); mid-cap; profittevole in crescita,9
UPST,"Upstart Holdings, Inc.",65.0,1043857000.0,0.0479,0.3549,0.6399,,,0.0513,,crescita ricavi 64% (iper-growth); small-cap (ampio spazio); profittevole in crescita,7
ZS,"ZSCALER, INC.",64.8,2673115000.0,0.3481,0.4403,0.2331,0.7687,-0.0092,-0.0155,0.85,"crescita ricavi 35%; gross margin 77% (software-like); mid-cap; non profittevole (nm -2%, high-beta)",10
RIVN,"Rivian Automotive, Inc. / DE",63.3,5387000000.0,0.4811,,0.0839,0.0267,1.9103,-0.6768,0.64,"crescita ricavi 48% (iper-growth); margine in salita (+191.0pp/3Y); mid-cap; non profittevole (nm -68%, high-beta)",7
HUBS,"HubSpot, Inc.",61.2,3131266000.0,0.2185,0.2881,0.1917,0.8376,0.0156,0.0147,,crescita ricavi 22%; gross margin 84% (software-like); margine in salita (+1.6pp/3Y); mid-cap; profittevole in crescita,14
ANET,"Arista Networks, Inc.",60.7,9005700000.0,0.2715,0.3119,0.286,0.6406,0.0299,0.3899,,crescita ricavi 29%; gross margin 64%; margine in salita (+3.0pp/3Y); mid-cap; profittevole in crescita,14
FROG,JFrog Ltd.,60.1,531840000.0,0.2384,0.2866,0.2412,0.7679,-0.0097,-0.135,,"crescita ricavi 24%; gross margin 77% (software-like); small-cap (ampio spazio); non profittevole (nm -14%, high-beta)",8
HOOD,"Robinhood Markets, Inc.",60.0,4473000000.0,0.4879,0.361,0.5158,,,0.421,,crescita ricavi 52% (iper-growth); mid-cap; profittevole in crescita,7
