ticker,volume_reliable,nonzero_frac,reason,cmf20,mfi14
A2A.MI,True,1.0,ok,-0.2215,32.2
AMP.MI,True,1.0,ok,-0.319,34.06
AZM.MI,True,1.0,ok,0.1085,77.37
BMED.MI,True,1.0,ok,0.25,78.81
BMPS.MI,True,1.0,ok,0.2623,83.35
BAMI.MI,True,1.0,ok,0.202,74.42
BPE.MI,True,1.0,ok,0.1517,96.99
BC.MI,True,1.0,ok,-0.3532,64.7
BZU.MI,True,1.0,ok,-0.1613,58.5
CPR.MI,True,1.0,ok,-0.3432,40.67
DIA.MI,True,1.0,ok,-0.3195,50.41
ENEL.MI,True,1.0,ok,-0.1261,69.78
ENI.MI,True,1.0,ok,0.1353,34.07
RACE.MI,True,1.0,ok,-0.1975,81.26
FBK.MI,True,1.0,ok,-0.0257,80.93
G.MI,True,1.0,ok,0.3719,86.75
HER.MI,True,1.0,ok,-0.1676,37.21
IP.MI,True,1.0,ok,-0.1967,46.69
ISP.MI,True,1.0,ok,0.1532,68.17
INW.MI,True,1.0,ok,-0.3042,39.93
IVG.MI,True,1.0,ok,-0.2622,49.27
LDO.MI,True,1.0,ok,-0.0261,54.96
MB.MI,True,1.0,ok,0.1489,81.54
MONC.MI,True,1.0,ok,-0.1574,42.8
NEXI.MI,True,1.0,ok,-0.1767,55.18
PIRC.MI,True,1.0,ok,-0.0414,58.78
PST.MI,True,1.0,ok,0.2882,96.64
PRY.MI,True,1.0,ok,-0.0587,46.79
REC.MI,True,1.0,ok,-0.3005,45.38
SPM.MI,True,1.0,ok,0.049,76.96
SRG.MI,True,1.0,ok,0.1918,46.69
STLAM.MI,True,1.0,ok,-0.2917,20.31
STMMI.MI,True,1.0,ok,0.0131,38.56
TIT.MI,True,1.0,ok,0.0188,95.22
TEN.MI,True,1.0,ok,0.0566,51.22
TRN.MI,True,1.0,ok,-0.1281,59.98
UCG.MI,True,1.0,ok,0.0296,62.47
UNI.MI,True,1.0,ok,0.1181,73.61
BPSO.MI,True,1.0,ok,-0.0533,85.93
LTMC.MI,True,1.0,ok,-0.1081,57.6
AC.PA,True,1.0,ok,-0.2915,46.41
AI.PA,True,1.0,ok,-0.1857,51.33
AIR.PA,True,1.0,ok,-0.178,64.3
MT.AS,True,1.0,ok,0.116,60.96
CS.PA,True,1.0,ok,0.0446,68.87
BNP.PA,True,1.0,ok,0.0787,70.21
EN.PA,True,1.0,ok,-0.2933,52.23
CAP.PA,True,1.0,ok,-0.0266,55.4
CA.PA,True,1.0,ok,-0.06,46.91
ACA.PA,True,1.0,ok,-0.0129,72.77
BN.PA,True,1.0,ok,-0.068,57.84
DSY.PA,True,1.0,ok,-0.1681,23.58
EDEN.PA,True,1.0,ok,-0.0875,28.49
ENGI.PA,True,1.0,ok,-0.0045,43.73
EL.PA,True,1.0,ok,-0.2375,64.25
ERF.PA,True,1.0,ok,-0.0258,44.33
RMS.PA,True,1.0,ok,-0.4051,70.97
KER.PA,True,1.0,ok,-0.0484,60.06
LR.PA,True,1.0,ok,-0.2127,44.73
OR.PA,True,1.0,ok,-0.2832,40.77
MC.PA,True,1.0,ok,-0.3366,58.99
ML.PA,True,1.0,ok,0.0343,72.68
ORA.PA,True,1.0,ok,-0.0573,21.92
RI.PA,True,1.0,ok,-0.3651,48.17
PUB.PA,True,1.0,ok,-0.0565,82.5
RNO.PA,True,1.0,ok,-0.316,32.3
SAF.PA,True,1.0,ok,-0.2018,62.37
SGO.PA,True,1.0,ok,-0.2495,62.42
SAN.PA,True,1.0,ok,-0.009,18.99
SU.PA,True,1.0,ok,-0.0913,59.95
GLE.PA,True,1.0,ok,0.0695,67.14
STLAP.PA,True,1.0,ok,-0.3201,27.61
STMPA.PA,True,1.0,ok,-0.0563,32.21
TEP.PA,True,1.0,ok,-0.2714,61.08
HO.PA,True,1.0,ok,-0.2314,46.01
TTE.PA,True,1.0,ok,0.1065,47.33
VIE.PA,True,1.0,ok,0.1331,58.6
DG.PA,True,1.0,ok,-0.1566,68.02
VIV.PA,True,1.0,ok,-0.2452,35.76
WLN.PA,True,1.0,ok,-0.1423,34.59
AAPL,True,1.0,ok,-0.0981,33.09
MSFT,True,1.0,ok,-0.0643,31.27
NVDA,True,1.0,ok,-0.1792,40.62
GOOGL,True,1.0,ok,-0.0622,38.72
AMZN,True,1.0,ok,-0.1937,17.96
META,True,1.0,ok,-0.0927,38.11
AVGO,True,1.0,ok,-0.023,55.56
TSLA,True,1.0,ok,0.0252,42.92
LLY,True,1.0,ok,-0.178,45.98
JPM,True,1.0,ok,0.1066,79.64
V,True,1.0,ok,-0.1032,63.34
UNH,True,1.0,ok,-0.0473,63.57
XOM,True,1.0,ok,-0.194,37.65
COST,True,1.0,ok,-0.3018,49.39
HD,True,1.0,ok,0.0173,55.31
PG,True,1.0,ok,0.0209,69.8
JNJ,True,1.0,ok,0.0173,59.09
ORCL,True,1.0,ok,0.211,46.59
BAC,True,1.0,ok,0.1486,91.46
NFLX,True,1.0,ok,-0.2425,32.13
AMD,True,1.0,ok,0.1768,48.07
CRM,True,1.0,ok,-0.1093,32.91
KO,True,1.0,ok,-0.1751,37.68
CVX,True,1.0,ok,-0.1685,34.47
MRK,True,1.0,ok,-0.2247,33.54
WMT,True,1.0,ok,-0.1701,55.02
PLTR,True,1.0,ok,0.0914,35.35
GE,True,1.0,ok,0.3106,70.34
CAT,True,1.0,ok,0.0544,59.7
GS,True,1.0,ok,0.0878,62.63
^GSPC,True,1.0,ok,0.0043,45.62
^NDX,True,1.0,ok,0.0946,56.35
^VIX,False,0.0,too_many_zero_or_nan,,
FTSEMIB.MI,True,1.0,ok,-0.0138,60.55
^FCHI,True,1.0,ok,-0.3271,74.64
^STOXX50E,True,1.0,ok,-0.1138,68.53
SPY,True,1.0,ok,-0.0356,43.85
XLF,True,1.0,ok,0.0659,74.43
XLE,True,1.0,ok,-0.2277,37.01
XLK,True,1.0,ok,0.105,46.03
XLV,True,1.0,ok,-0.141,46.74
XLY,True,1.0,ok,-0.0608,34.15
XLP,True,1.0,ok,-0.1457,55.12
XLU,True,1.0,ok,-0.1334,61.13
XLI,True,1.0,ok,0.0515,64.52
XLB,True,1.0,ok,0.0875,61.89
XLRE,True,1.0,ok,-0.1768,42.69
XLC,True,1.0,ok,-0.0698,39.14
